Main,ScriptKey,LineKey,Background,Actor,AnimState,DotAnim,DotExpression,TextType,KorText,EngText,NextLineKey,AnimScene,AfterScript,DeathNote,LocTable,LocKey
1,49,1,main_table,Dot,Main,body_default2,face_squeeze,text,책장 안. 침대 위. 포스터 뒤쪽.,In the bookcase. On the bed.\nBehind the poster.,2,,,,Main_Ch9,M9_L0001
1,49,2,main_table,Dot,Main,body_default2,face_squeeze,text,보이지 않아. 보이지 않아.\n어디에도 보이지 않아.,It’s not here. It’s not there.\nIt’s not anywhere.,3,,,,Main_Ch9,M9_L0002
1,49,3,main_table,Dot,Main,body_default2,face_omg,text,"<nickname>. 너, 너, 너.\n혹시 ‘청소’라는 걸 했어?","<nickname>. You, you, you.\nDon’t tell me you cleaned?",4,,,,Main_Ch9,M9_L0003
1,49,4,main_table,Player,Main,body_default2,face_omg,text,어어... 곰팡이를 치우긴 했는데...,So... I did get rid of the mold...,5|5,,,active|passive,Main_Ch9,M9_L0004
1,49,5,main_table,Dot,Main,body_default2,face_mad,text,안 돼. 안 돼. 그럴 수 없어. 그럴 수는 없어.,No. No. It can’t be. It just can’t.,6,,,,Main_Ch9,M9_L0005
1,49,6,main_table,Dot,Main,body_default2,face_mad,text,그러면 옴폭한 접시에 몸을\n누이고 살아가던 나의 친구를....,"So my friend, the one that\nlounged on the plate....",7,,,,Main_Ch9,M9_L0006
1,49,7,main_table,Player,Main,body_default2,face_mad,text,곰팡이를.,You mean the mold.,8,,,,Main_Ch9,M9_L0007
1,49,8,main_table,Dot,Main,body_default2,face_blink,text,나의 친구가 네게는 해악이었어?,Was my friend a hazard to you?,9,,,,Main_Ch9,M9_L0008
1,49,9,main_table,Player,Main,body_default2,,text,....,....,10,,,,Main_Ch9,M9_L0009
1,49,10,main_table,Player,Main,body_default2,,text,(하지만 곰팡이의 무덤을 더는 견딜\n수가 없었어. 이걸 어떻게 설명하지?),(But I couldn’t stand the mold.\nHow should I put this?),11,,,,Main_Ch9,M9_L0010
1,49,11,main_table,Player,Main,body_default2,,text,"음, 뭉치야. 인간에게 곰팡이는 해악이야. 곰팡이는...","Well, Dot. Mold can be\nhazardous to people. It...",12,,,,Main_Ch9,M9_L0011
1,49,12,main_table,Player,Main,body_default2,,selection,기관지에 나쁠 뿐더러... 주변으로 퍼지기까지 하거든.|푸르스름한 모양을 보기만 해도 마음이 진창이 돼.,"Not only is it bad for your lungs, it <i>spreads</i>.|Just looking at its bluish form tears at my mind.",13|13,,,moon|sun,Main_Ch9,M9_L0012
1,49,13,main_table,Player,Main,body_default2,,text,으으...,Blegh...,14,,,,Main_Ch9,M9_L0013
1,49,14,main_table,Dot,Main,body_default2,,text,"하지만 시간이 지나며 <nickname>,\n너와도 친구가 된 게 아니었어?",But.. I thought you’d\ngrown to be friends?,15,,,,Main_Ch9,M9_L0014
1,49,15,main_table,Dot,Main,body_default2,,text,인간에게 나쁜 영향을\n준다곤 생각치 않았어.,I had no idea he was\nsuch a bad influence.,16,,,,Main_Ch9,M9_L0015
