Main,ScriptKey,LineKey,Background,Actor,AnimState,DotAnim,DotExpression,TextType,KorText,EngText,NextLineKey,AnimScene,AfterScript,DeathNote,LocTable,LocKey
1,79,1,main_door_open,Dot,Main,body_default1,face_blink,text,<nickname>! 새로운 하루야!,<nickname>! It’s a new day!,2,,,,Main_Ch14,M14_L0001
1,79,2,main_door_open,Player,Main,,,text,"뭉치, 오늘따라 인사가 당차네!",Look who’s sounding lively today!,3,,,,Main_Ch14,M14_L0002
1,79,3,main_door_open,Dot,Main,,,text,"응, 당차게 보내기로 마음 먹은 하루거든. 오늘만큼은. 그래야만 해.","Yes, I’ve decided to be\nlively for today. I have to.",4,,,,Main_Ch14,M14_L0003
1,79,4,main_door_open,Player,Main,,,selection,"(뭉치, 무서운 걸까...)|(다행이라면 다행인 걸까...)",(I wonder if Dot’s scared...)|(Maybe this is good...),5|5,,,active|passive,Main_Ch14,M14_L0004
1,79,5,main_door_open,Player,Main,,,text,뭉치... 당연하겠지만 여전히 무서운 거구나.,Dot... You sound scared.\nI guess it’s only natural.,6,,,,Main_Ch14,M14_L0005
1,79,6,main_door_open,Dot,Main,,face_eyeroll3,text,응... 무서워. 어젯밤 내내 죽음에 대해 생각했을 만큼.,Yes... I am scared. Death has\nbeen on my mind all night long.,7,,,,Main_Ch14,M14_L0006
1,79,7,main_door_open,Dot,Main,,,text,"그치만 <nickname>,",... <nickname>.,8,,,,Main_Ch14,M14_L0007
1,79,8,main_door_open,Dot,Main,,face_blink,text,내가 뿔뿔이 와해되어 죽게 될 것이라는 사실도 중요하지만.,The fact that I’ll soon dissolve\ninto death may be important.,9,,,,Main_Ch14,M14_L0008
1,79,9,main_door_open,Dot,Main,,,text,"그 사실을 당차게 받아들이고,","But what matters more\nis that I’ll brave it,",10,,,,Main_Ch14,M14_L0009
1,79,10,main_door_open,Dot,Main,,,text,아주 무서워하면서도 끝까지 내 몸을\n펴고 있겠다 선택한 것도 중요하지.,"and choose to face my fears,\nstanding tall and defiant.",11,,,,Main_Ch14,M14_L0010
1,79,11,main_door_open,Dot,Main,,,text,오늘은 이 선택에 대한 이야기를 들려 주려 해.,Today I want to tell you\nabout this choice I made.,12,,,,Main_Ch14,M14_L0011
1,79,12,main_door_open,Dot,Main,body_bounce,,text,"죽음을 앞두고도 당차게\n인사하길 선택한, 나의 근사한 반항담 말이야!",A fantastic tale of rebellion\nagainst my looming death!,13,,,,Main_Ch14,M14_L0012
1,79,13,main_door_open,Player,Main,body_default1,,text,"응, 준비됐어!","Yes, I’m ready!",14,,,,Main_Ch14,M14_L0013
1,79,14,main_door_open,Dot,Main,,face_close_turn,text,그렇다면... 이제 나와 함께 상상해 줄래?,"Now... close your eyes.\nAnd picture if you will,",15,,,,Main_Ch14,M14_L0014
1,79,15,main_door_open,Dot,Main,,face_close,text,아주 색이 많은 우주를.,a universe bursting with colors.,16,1,,,Main_Ch14,M14_L0015
1,79,16,main_door_open,Dot,Main,body_default1,face_blink,text,내가 가장 사랑한 인간인 너의 죽음은 어떨까?,"What about your death,\nmy dearest human?",17,,,,Main_Ch14,M14_L0016
1,79,17,main_door_open,Dot,Main,,,text,"몇십 년 후, 어느 폭신하고 새하얀 침대 위에서 늙어 죽을까?","Will it be decades from now,\non a soft white bed?",18,,,,Main_Ch14,M14_L0017
1,79,18,main_door_open,Player,Main,,,selection,잠에 들 듯이 스르르...|덜컥 하고 순식간에...,Like drifting off to sleep...|Like an unexpected bang...,19|19,,,passive|active,Main_Ch14,M14_L0018
1,79,19,main_door_open,Dot,Main,,,text,"큰 병에 걸려 시름시름 앓다 예상보다\n이십 년은 일찍 세상을 뜨게 될 수도 있고,","Perhaps a grave illness will\ntake you twenty years too soon,",20,,,,Main_Ch14,M14_L0019
1,79,20,main_door_open,Dot,Main,,,text,"부디 그러지 않길 빌겠지만...\n지금으로부터 이 년 후, 어쩌면 이 주 후","or worse... some unforeseen tragedy:\na car crash, a fall, a split second’s mistake",21,,,,Main_Ch14,M14_L0020
1,79,21,main_door_open,Dot,Main,,,text,예측 불가했던 비극적인 사고에 휘말리게 될지도 모르지.,"ending your life in a couple years,\nor even weeks.",22,,,,Main_Ch14,M14_L0021
1,79,22,main_door_open,Player,Main,,,selection,아등바등 살아간 것치곤 참 우스운 결말이네.|미래를 결코 장담할 수 없다는 건 참 두려운 일이구나.,A pathetic end to all my struggles...|It’s scary how the future is never promised.,23|23,,,moon|sun,Main_Ch14,M14_L0022
1,79,23,main_door_open,Dot,Main,,,text,"이 세계와의 작별을 코앞에 둔 나는,\n이제 단지 너에게 묻고 싶은 것 같아.","Before saying goodbye to this world,\nI just wanted to ask you one thing.",24,,,,Main_Ch14,M14_L0023
1,79,24,main_door_open,Dot,Main,,,text,너는 어때?,"Despite it all, <nickname>,",25,,,,Main_Ch14,M14_L0024
1,79,25,main_door_open,Dot,Main,,,text,이 모든 것에도 불구하고 이 세계를 사랑해?,do you still love this world?,26,,,,Main_Ch14,M14_L0025
1,79,26,main_door_open,Dot,Main,,,text,"네가 태어난 이 혼란스럽고, 잔혹하고, 무의미한 세계를?","This chaotic, cruel, meaningless\nworld you were born into?",27,,,,Main_Ch14,M14_L0026
1,79,27,main_door_open,Dot,Main,,,text,"기필코 죽게 될, <nickname>, 너의 가련한 운명을?",Even your fate that promises\nan inevitable death?,28,,,,Main_Ch14,M14_L0027
1,79,28,main_door_open,Player,Main,,,text,(.... 고민하며 침묵한다. 나는 이 세계를 사랑하는가?),"(.... You fall silent, thinking.\nDo I love this world?)",29,,,,Main_Ch14,M14_L0028
1,79,29,main_door_open,Player,Main,,,selection,"(여전히 답을 내리기 어렵다.)|응, 그럼에도 사랑해. 그렇기에 죽고 싶지 않아.","(The answer doesn’t come easily.) |Despite it all, yes. And so I don’t want to die.",30|30,,,passive|active,Main_Ch14,M14_L0029
1,79,30,main_door_open,Player,Main,,,text,......,......,31,,,,Main_Ch14,M14_L0030
1,79,31,main_door_open,Player,Main,,,text,그러면 나도... 뭉치 너에게 묻고 싶어.,"And I’d like to ask you, Dot.",32,,,,Main_Ch14,M14_L0031
1,79,32,main_door_open,Player,Main,,,text,"이 모든 것에도 불구하고, 너는 어때? 사랑할 수 있어?","In spite of everything,\ncan you love it too?",33,,,,Main_Ch14,M14_L0032
1,79,33,main_door_open,Player,Main,,,text,너무 성급하게 허공으로 사라져 버리게 된 너의 운명과...,Your untimely fate...,34,,,,Main_Ch14,M14_L0033
