Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
SD1_L0001,"In his world, dry and filled with hollow echoes,","메마르고 공허한 울림뿐이었던 그의 세상 속에서,"
SD1_L0002,"all his lovers adored the expression ""I love you.”",그의 연인들은 전부 ‘사랑해’라는 단어를 아주 좋아했지.
SD1_L0003,"But for some inexplicable reason, the man himself could not say it.",하지만 그는 알 수 없는 이유로 ‘사랑해’를 부를 수 없었어.
SD1_L0004,"Whenever he tried, only strange, incomprehensible sounds came out.","그 이름을 부르려고 하면, 그 누구도 이해할 수 없는 이상한 소리만 나왔던 거야."
SD1_L0005,"His former lovers remained lonely, deprived of that ‘I love you.’",”사랑해”를 듣지 못했던 그의 전 연인들은 외로워했어.
SD1_L0006,"Plagued by thirst, emptiness, and doubt, they eventually left him.","갈증에, 공허함에, 때로는 의심에 허덕이며 결국 그를 떠나 버렸지."
SD1_L0007,"He sensed his fate was sealed, yet never let go of hope.",그는 반복될 엔딩을 직감하면서도 희망만은 놓지 않았어.
SD1_L0008,Giving up on love was not an option.,사랑을 포기한다는 건 선택지에 없었으니까.
SD1_L0009,He articulated his love in its truest form!,그는 아름다운 사랑의 감정들을 가장 원형에 가까운 형태로 표현해 봤어!
SD1_L0010,"“Darling, you command my seas.”",“넌 내 바다를 호령해.”
SD1_L0011,"“For you, I could give up my sunsets!""",“너를 위해서라면 내 노을도 내어 줄 수 있어!”
SD1_L0012,"“Time with you is sweet like plum candy!” Walls lowerd, hearts opened.",“너와의 시간은 매실 사탕처럼 달콤해!” 마음을 열고 어깨에 기대 보기도 했어.
SD1_L0013,"But without those three words, it seemed his love never reached them.",하지만 잠시뿐이었어. 그들은 사랑이라는 단어 없이는 사랑을 느끼지 못하는 것 같았어.
SD1_L0014,They all left him in the end. He was left biting his tongue in dismay.,"사람들은 결국 그를 떠났고, 그는 애석한 혓바닥만 깨물어댈 뿐이었지."
SD1_L0015,"Until one day, when fate worked its magic","그러던 어느 날, 아주 세밀하게 직조된 운명처럼,"
SD1_L0016,and led him to someone with the same symptoms!,그는 자신과 똑같은 증상을 겪는 사람을 만나게 돼!
SD1_L0017,"Free from insecurities, they sang of love in their unique language.","둘은 그동안의 불안을 뒤로 한 채, 그들만의 언어로 자유롭게 사랑을 노래할 수 있었지."
SD1_L0018,"Oh, blessed bliss. How long he had dreamed of someone like him!","꼭 닮은 너와 나, 이것이 얼마나 오래도록 꿈꿔 왔던 순간이었는지!"
SD1_L0019,"So it was beyond strange when this time, the man himself grew slowly ill.",그런데 이상하지. 이번엔 그가 차차 메말라 갔어.
SD1_L0020,‘... Something’s missing. But why? Why?’,부족해. 무언가 부족해. 왜? 왜일까?’
SD1_L0021,He even began to doubt. ‘Why can’t he just say it… Does he love me at all?’,급기야는 의심이 시작됐지. '왜 사랑한다는 말을 하지 않는 걸까.... 정말 나와 같은 이유일까?’
SD1_L0022,‘How can love never spoken aloud be love?’,"‘우리의 사랑은, 무언가 부족해. 사랑한단 말도 못 하는 사랑이 어떻게 ‘사랑’일 수 있겠어.’"
SD1_L0023,"Thirst consumed his thoughts, and eventually the man left.","갈증은 그의 마음을 잡아먹었고, 결국 그는 떠나기로 결심했어."
SD1_L0024,"All because he too longed to hear those three words, ‘I love you.’",그 역시 ‘사랑한다’는 말을 아주 원했기 때문에.
