Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
S14_L0001,"<nickname>, you’ve\nnever left Earth, right?",<nickname>은 평생 지구에만 있어 봤지?
S14_L0002,"Yes, though space has always fascinated me.|Yes, I like it here on Earth.","응, 우주를 늘 동경해 왔지만.|응, 나는 지구가 좋아."
S14_L0003,"Me too, I like Earth as well.","나도, 지구가 좋아."
S14_L0004,For many reasons...... but\nwhat truly captivated me was,무수한 이유들이 있지만......\n나를 가장 매료시켰던 건
S14_L0005,"Earth’s kindness. Earth is benevolent,\nlovely, and very, very kind.","지구의 다정함이야. 지구는 자애롭고,\n사랑스럽고, 아주 아주 다정해."
S14_L0006,...,...
S14_L0007,"When I opened my eyes, I felt the atmosphere\npierce my skin. I mistook that feeling for ‘life.’",눈을 뜬 순간부터 나는 대기에 살이 에이는\n감각을 느꼈었어. 그걸 ‘생의 감각’이라 착각했지.
S14_L0008,"It never stops being cold.\nOn the Moon, that is.",내일의 추위가 당연한 곳. 달은 그런 곳이었어.
S14_L0009,"But it’s different on Earth. My skin no longer\naches, and the skin-slicing cold is no more.","그런데 지구의 공기는 달라. 더 이상 살갗이\n저리지도, 패인 듯한 시림도 느껴지지 않아."
S14_L0010,"And yet, I’m alive.",그럼에도 난 계속 살아 있었어.
S14_L0011,......,......
S14_L0012,And so I realized. What I felt before wasn’t\n‘life.’ It was simply the Moon’s atmosphere.,"그래서 깨달았지. 내가 처음 느꼈던 건 생의\n감각이 아니라, 달의 공기였다는 걸 말이야."
S14_L0013,I was merely enduring the merciless cold.,난 그저 무자비한 추위를\n견디고 있던 것이었어.
S14_L0014,It’s as if Red’s flames kept you safe.|If only we could send a coat or stove to the Moon.,레드의 불꽃이 뭉치를 지켜 준 셈이었겠어.|달에 외투나 난로를 선물할 수 있다면 좋을 텐데.
S14_L0015,"On the Moon everything barely lives. The\nMoon Beings, and even the occasional moon bug.","달에서는 다들 겨우 살아. 달 사람도,\n어쩌다 한 번씩 보이는 달 벌레도."
S14_L0016,But on Earth\neverything blooms.,그렇지만 지구에서는\n모든 것이 만개해.
S14_L0017,See. Earth is kind...,봐. 지구는 다정해...
S14_L0018,It could give us\nthe bare minimum,우리가 간신히 살아 있을 정도로만 대해 줘도
S14_L0019,"and we would still endure\nand struggle to survive,","우리는 어쩔 수 없이 견디며\n삶을 이어 나갈 텐데,"
S14_L0020,but it gives us so much more.,지구는 필요 이상으로 아낌없이 주잖아.
S14_L0021,"Like the vast ocean and its crashing waves?|Like the soil, nurturing countless life forms?",드넓은 바다와 찬란히 부서지는 파도?|수많은 생명의 터전이 되는 이 땅처럼?
S14_L0022,"The endless greenery, the rustling spring\nbreeze, the cooling rain, even the first snow.","맞아. 펼쳐지는 녹음과 꽃, 살랑거리는\n봄바람, 대지를 식히는 소나기, 첫눈까지."
S14_L0023,Changes happen everyday with a single\ngoal—to protect and nourish life.,매 순간 변화하면서도 그 모든 것의 목적은\n생명을 지키고 키워 나가는 데에 있지.
S14_L0024,Be it you or me.,그게 너든 나든 말이야.
S14_L0025,...,...
S14_L0026,Earth is kind.,지구는 다정해.
S14_L0027,"And my Earthling friend, <nickname>.","그리고 나의 지구인 친구, <nickname>."
S14_L0028,Do you know how much\nyou resemble your planet?,너 역시 네가 태어난 행성을\n닮아 있단 걸 알아?
S14_L0029,"<nickname>, while reading on the concept\nof multiverses I came across a question.","<nickname>, ‘다중우주’라는 신기한 개념을\n다루는 책을 읽다가 질문 하나를 맞닥뜨렸어."
S14_L0030,"‘If there is a universe so remotely far away\nthat no other universe can observe it,","‘아주 멀리 동떨어져 있어 어떠한\n외부 우주에서도 관측될 수 없고,"
S14_L0031,"and zero life exists for it to be\nacknowledged from the inside,","생명체가 없어 내부에서도\n인식될 수 없는 우주가 있다면,"
S14_L0032,can we say that universe exists?’,우리는 그 우주가 존재한다고\n말할 수 있는가?’
S14_L0033,"It was too difficult of a question for a\nbrainless lump to comprehend at once,","뇌 없는 점액 몸이 단박에 이해하기엔\n너무 어려운 질문이었지만,"
S14_L0034,"but my heart goes out to that\nuniverse and its eternal solitude,",그 우주가 감당해야 할 억겁의\n고독이 가련하다고 생각했어.
S14_L0035,with certain kinds of logic\ndenying its very existence.,어떤 논리에겐 그의\n존재조차 부정당하며.
S14_L0036,"What do you think happens to stars born in\nsuch universes, far far away from our eyes?","있잖아, 그렇게 관측되지 않는, 너머 너머\n너머의 우주에서 태어난 별들은 어떻게 되는 걸까?"
S14_L0037,"Do they truly die alone, feeling the\nterror and solitude of ‘nothingness’?",그들이야말로 정녕 ‘무’의 공포와\n고독을 느끼며 홀로 죽어가게 될까?
S14_L0038,"I don’t know whether stars have\nthe organs necessary to feel terror,","별들에게도 공포를 감각하는\n기관이 있을지는 모르겠지만,"
S14_L0039,but...,글쎄...
S14_L0040,All creatures are scared to die alone.|Surely the world can’t be that cruel.,홀로 죽는 공포는 모든 생물의 필연이니까.|세상이 그렇게 무정하지는 않을 거야.
S14_L0041,But I guess no one knows for certain.,하지만 사실은 그 누구도 모르는 거겠지.
S14_L0042,"If we can’t ever know, what\nwould you like to think it is?","사실을 영영 모른다면, 넌 어떤\n가능성을 상상하고 싶어?"
S14_L0043,"Well, if we’re imagining...","음, 상상의 영역이라면......"
S14_L0044,I’ll take my chance with the beautiful scenario.|I’ll picture the loneliest death of a star.,난 아름다운 시나리오에 상상을 맡겨 볼래.|난 별의 가장 고독한 죽음을 상상할래.
S14_L0045,"Perhaps life just hasn’t been born yet.|Even if they’re far apart, the stars have each other.","사실 아직 생명체가 태어나지 못했을 뿐이래.|외딴 우주에 살더라도, 그 별들에겐 서로가 있어."
S14_L0046,"The law of the universe is harsh\nbut at times warm and humorous,","우주의 섭리는 가혹하지만 때로는\n아주 다정하고 재미있어서,"
S14_L0047,"and they fashion at least one being to gaze\nat the night sky, so that no stars are left out.","소외되는 별이 없도록, 그들을 바라볼\n생명체를 하나씩은 꼭 빚어 내 주거든?"
S14_L0048,That universe... must be waiting.,그 우주는... 지금 기다리는 중인 거야.
S14_L0049,"Somewhere within, soil to tread and\noceans to breathe in are being made.",분명 발 붙일 땅과 들이마실 바다가\n어느 행성에서 만들어지고 있을 거야.
S14_L0050,The universe is preparing to breathe\nimagination into its beings!,우주는 그곳의 생명체들에게 상상의\n힘을 불어 넣을 준비를 하고 있겠지!
S14_L0051,"Ones to put a story to\na star, and a name.","별 하나에 이야기를 지어 주고,\n이름을 붙여 줄 수 있도록 말이야."
S14_L0052,Maybe scientific developments\nare underway?,과학 발전의 힘을 줄 예정일 수도 있지?
S14_L0053,An observatory and a telescope can snatch up\nclues about how the universe was designed.,천문대와 망원경을 만들어 우주의 조형 원리에\n대한 실마리를 낚아채도록 말이야.
S14_L0054,I adore the ending of this scenario!,"나, 이 시나리오의 결말이\n정말 마음에 들어!"
S14_L0055,"Whether out or in, even\nif no one recognizes them,","바깥에서든, 내부에서든. 그 어디에서도\n자신을 알아봐 주지 않아도,"
S14_L0056,"that universe contains multiple stars\nand planets and nebulae, right?",그 우주 안엔 수많은 별과\n행성과 성운들이 있는걸?
S14_L0057,Their bond will be stronger than any other\ncelestial body. They only have each other.,그들은 그 어떤 우주의 천체들보다\n끈끈할 거야. 서로에겐 서로밖에 없잖아.
S14_L0058,I think those celestial bodies\nwill hold a party now and then.,종종 천체들의 파티가 열릴 것 같아.
S14_L0059,"Those close enough can hold conversations\nthrough light and gravity,","가까운 곳의 이들은 빛과\n중력으로 대화를 나누고,"
S14_L0060,while those far away can exchange\nmessages as gravity-penpals!,멀리 떨어진 이들은 중력파-펜팔을\n주고받을 게 분명해!
S14_L0061,"I love the ending of this scenario, I really do.","나, 이 시나리오의 결말이\n정말 마음에 들어."
S14_L0062,"Yes, some stars in some\ngalaxies of some universes","그래, 어떤 우주의 어떤\n은하계의 어떤 별들은"
