Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
SD2_L0001,He was a circular man in an otherwise triangular family.,그는 세모난 가족들 사이의 동그란 사람.
SD2_L0002,His face had an evident hole in it.,얼굴엔 언제부터인가 구멍이 뻥 뚫려 있었나 봐.
SD2_L0003,So his goal was to make marbles.,그래서 그는 구슬을 만드는 일을 했어.
SD2_L0004,It was not an easy goal to achieve. His marble had to fit perfectly.,쉬운 일은 아니었지. 완벽하게 꼭 들어맞는 구슬이어야만 했으니.
SD2_L0005,"He clung to the task. Night and day, relentless and endless.",그는 집착적으로 매달렸어. 밤낮없이 도리없이 기약없이 매진했어.
SD2_L0006,"Finally, he did it but…","마침내, 만들어 냈지만..."
SD2_L0007,Alas.,에구.
SD2_L0008,"In his disappointment, he went down a different path. He started to look for love.",낙심한 그는 다른 방법을 찾았지. 사랑을 찾아다니기로 한 거야.
SD2_L0009,"“If you love me, give me your candy.”",‘사랑하면 사탕을 줘.’
SD2_L0010,"“If you love me, give me your eyeball.”",‘사랑하면 눈알을 줘.’
SD2_L0011,"“If you love me, give me your round heart.”",‘사랑하면 너의 동그란 심장을 줘.’
SD2_L0012,But it was not easy.,그러나 녹록지 않았지.
SD2_L0013,"“Even your heart doesn’t fit my hole. You never really loved me, did you?”",‘네 심장조차 나의 구멍에 딱 맞지 않잖아. 그럼 너는 날 사랑하지 않는 거야.’
SD2_L0014,"Devastated, he left.",실연의 아픔에 젖은 채 그는 떠났어.
SD2_L0015,"Now stuck in his own circular trap, he greedily swallowed all the circles of the world.","이제 그는 그만의 동그란 공백에 갇혀, 탐욕스럽게 세상의 모든 동그라미들을 삼켰어."
SD2_L0016,"Perhaps he thought at least one must fit. What he radiated was,",뭐 하나는 들어맞을 수도 있겠다는 생각이었을까. 그런 그에게서 느껴지는 것은
SD2_L0017,Blank empathy. Engorged greed. Desperate hunger.,공허한 연민. 비대한 욕심. 처절한 허기.
SD2_L0018,"One day, he stood and stared at the circular sun.",어느 날 그는 세상의 끝에 서서 동그란 태양을 바라보았어.
SD2_L0019,To dare… consume it.,태양을 삼키기 위해서.
SD2_L0020,"After he was burned to the ground, all that was left of his fixation was—","육체가 분신하다 녹아내리고 난 후, 그 자리에 집념의 산물만이 남았어."
SD2_L0021,an empty hole.,오직 텅 빈 구멍만이.
