Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
M13_L0001,"Hello, <nickname>…","안녕, <nickname>…."
M13_L0002,"Hello, Dot.","안녕, 뭉치."
M13_L0003,You seem to have a lot on\nyour mind. What’s going on?,생각이 많아 보여. 무슨 일 있었던 거야?
M13_L0004,A lot goes on every single day.,‘무슨 일’은 매일매일 일어나는걸.
M13_L0005,"Today… Ah, I didn’t meet\nany humans today.","오늘은… 아, 오늘은 인간을 만나지는 못했어."
M13_L0006,A great big tree I often\npassed by told me a story.,늘 지나치던 커다란 나무가 내게 말을 걸어 왔거든.
M13_L0007,The human’s life ends there. Their\nfates run parallel from here on.,인간의 삶은 더 이상 이어지지 않아.\n둘의 인연은 먼 평행을 달리게 될 거야.
M13_L0008,"Still, it’s dazzlingly beautiful…",그렇지만 여전히 눈부시게 아름답구나…
M13_L0009,"<nickname>, you know\nmy trip will soon end.","<nickname>, 내 여행이 얼마\n남지 않았다는 걸 알고 있지?"
M13_L0010,"When I leave, will you be left\nall by yourself like the tree was?",내가 떠나면 너도 나무처럼 홀로 남게 될까?
M13_L0011,"Not for as long as the\ntree endured, but yes.","나무만큼 긴 시간은 아니겠지만,\n분명 그렇게 되겠지."
M13_L0012,I hope you don’t stay sad for long.,네가 오래 슬프지 않았으면 좋겠어.
M13_L0013,……,……
M13_L0014,"Dot, will you really be gone\nafter appearing once as a dream?","뭉치, 정말 단 한 번의 꿈이 되어 사라지는 거야?"
M13_L0015,Can’t you come to me every night?\nEven if it’s just for a little while.,매일 밤 나타나 줄 수는 없어? 잠깐이라도.
M13_L0016,I wish I could.,그럴 수 있다면 정말 좋을 텐데.
M13_L0017,But the dream-me won’t\nbe the me that you know.,다만 꿈이 된 나는 네가 알고 있는\n지금의 내가 아니게 될 거야.
M13_L0018,"Instead, I may exist within a dream as a subtle\nshadow, passing image, or blurry face .","대신 꿈 속의 흐린 그림자, 스쳐가는 잔상,\n깨어나면 잊혀지는 얼굴로 존재할지도 모르지."
M13_L0019,"Then, then you could maybe inhabit\nthe radio, you like that, right?","그럼, 그럼 네가 좋아하는\n라디오 속으로 들어온다거나…"
M13_L0020,"Hm, since a dream isn’t a spirit,\nI’m not sure that’s possible.","음, 꿈은 영혼이 아니라 깃들 수 없을 것 같은데."
M13_L0021,"If it is, I’ll try! Don’t be scared when\nthe radio starts talking to you.",가능하다면 시도해 볼게! 라디오가\n말을 걸어와도 놀라면 안 돼.
M13_L0022,……,…..
M13_L0023,"I’m joking, <nickname>.\nPlease don’t be sad.","장난이야, <nickname>. 그러니 이제 웃어 줘."
M13_L0024,(Tries to smile.)|(Fails to smile.),(애써 웃는다.)|(웃지 못한다.)
M13_L0025,Dot. Are you no longer scared?,뭉치. 이제 무섭지 않아?
M13_L0026,"Of becoming a dream,\nand what comes after…","꿈이 되는 것, 그리고 그 이후의 시간들…"
M13_L0027,… I’m still pained and scared.,….여전히 괴롭고 무서워.
M13_L0028,"I’ll return to a state of nothingness,\nto before ‘I’ was ‘Dot.’","아무것도 감각하지 못하는 상태로, ‘내’가\n‘뭉치’가 되기 전으로 돌아간다는 것이."
M13_L0029,Will I be meaningfully different as a\ndisappeared dream than a blob of filth?,꿈이 되어 사라진 ‘나’는 폐기물일\n때의 ‘나’와 유의미하게 다를까?
M13_L0030,Perhaps I’ll be more lonely.,어쩌면 그보다 외로울지도 몰라.
M13_L0031,I’ll no longer be discovered by anyone.,더 이상 누구에게도 발견되지 못할 테니까.
M13_L0032,That’s not true.|Perhaps.,그렇지 않아.|정말 그럴지도 몰라.
M13_L0033,"I’ll be here, on Earth, remembering you.","내가 여기서, 지구에서 널 기억하고 있는걸."
M13_L0034,How can one ascertain the\nloneliness of being gone?,사라진다는 고독함을 어떻게 가늠할 수 있겠어.
M13_L0035,"But this is for sure; I’ll be here,\non Earth, remembering you.","하지만 확실한 건 내가 여기서,\n지구에서 널 기억하고 있다는 거야."
M13_L0036,"An open novel, the empty bookshelf corner,\nshadows laying upon the windowsill…","펼쳐진 소설책, 비어 버린 책장\n모퉁이, 그림자가 내려앉는 창가…"
M13_L0037,All those things and more\nwill remind me of you.,그 모든 걸 마주할 때마다 너를 떠올리게 될 거야.
M13_L0038,Like the tree thought of the human?,나무처럼?
M13_L0039,Yes. Like the tree that loved the human.,응. 인간을 사랑한 나무처럼.
M13_L0040,"And when I see people like the ones in the\nstories you told me, I’ll once again think of you.","그리고 네가 들려 준 인간들과 비슷한 사람을\n마주하게 되면, 다시 너를 떠올리겠지."
M13_L0041,That would make me so happy.,정말 그렇게 된다면 기쁠 거야.
M13_L0042,The humans I observed and told you\nabout… What would they look like now?,"내가 목격하고, 너에게 들려 준\n인간들… 그들은 지금 어떤 모습일까?"
M13_L0043,We met people struggling\nin each of their lives.,우리는 각자의 삶에서 허우적대는 인간들을 만났지.
M13_L0044,"Someone who couldn’t speak of love,\nsomeone who tried to smooth out his deficiency.","사랑을 말할 수 없는 인간,\n결핍을 채우려 애쓰던 인간."
M13_L0045,"Someone with many faces, someone\nwho died at their shiniest moment.","여러 개의 얼굴을 가진 인간,\n찬란한 순간 죽음을 맞이한 인간."
M13_L0046,"Someone who covered everything with a\nsmile, someone who swallowed all sadness.","그리고 모든 것을 미소로 덮던\n인간, 모든 설움을 삼키던 인간."
M13_L0047,"Someone who searched for pain, and\nsomeone who lived in a fantasy.","고통을 찾는 인간, 환상 속을 살던 인간까지."
M13_L0048,"<nickname>, which of them mad\n the biggest impression on you?","<nickname>, 그들 중에 가장\n기억에 남는 인간이 있어?"
M13_L0049,The one who made the\nbiggest impression was…,가장 기억에 남는 인간은…
M13_L0050,I’m curious as to why.,이유가 궁금해져.
M13_L0051,"Ah, I think I understand now.\nYour inner emotions, I mean.","아, 짐작할 수 있을 것 같아.\n이제 <nickname>의 마음을 조금은."
M13_L0052,I think the human you spoke of\nmust resemble you in some way.,네가 말한 인간은 분명 너와\n어딘가 닮아있었을 거야.
M13_L0053,"You came to be sympathetic, consoling…","너는 그를 가엾이 여기거나, 위로하는 마음을…"
M13_L0054,as well as warm and\nencouraging towards them.,그리고 따스히 응원하는 마음을 가지게 되었겠지.
M13_L0055,"Kind <nickname>, I hope your feelings\nare safely delivered to that human.","다정한 <nickname>, 너의 마음이\n그 인간에게 무사히 전송되었기를."
M13_L0056,Kind Dot.,다정한 뭉치.
M13_L0057,I knew losing you would\nmake my heart ache.,역시 널 잃는다는 게 마음 아파.
M13_L0058,"I, I too feel forlorn, very much so.","나도, 나도, 무척이나 쓸쓸해."
M13_L0059,Dying and disappearing\nis definitely fragile and futile.,죽고 없어진다는 건 정말이지 연약하고 허무하지.
M13_L0060,It slips through your fingers before\nyou can decide to clench your fist.,붙잡을 새도 없이 순식간에 새어 나가 버려.
M13_L0061,"The bright moments and painful days, every\nlife, forest, and ocean, seasons and rainbows…","빛나는 순간과 아팠던 나날들, 모든\n생명과, 숲과 바다와, 계절과 무지개…"
M13_L0062,"But, passing through the Dark,\nI realized. It’s not all for nothing.","하지만, 암흑을 지나오며 알게 됐어.\n아무 의미도 없는 건 아닐 거라고."
M13_L0063,"Even if everything is chaos and\nfutility, it can be beautiful as it is.","모든 게 혼돈과 허무일지라도,\n여전히 그대로 아름다울 수 있다고."
M13_L0064,"Yes, I believe so. I can believe so.","응, 그렇게 믿어. 믿을 수 있어."
M13_L0065,The time we spent together\nwill have made a great change.,우리가 함께한 시간이 커다란\n변화를 만들어 냈을 테니까.
M13_L0066,"Then <nickname>, once this conversation is over,\nlet’s close our eyes and reminisce our first encounter.","그렇다면 <nickname>, 이 대화가 끝나면\n잠시 눈을 감고 우리의 첫 만남을 떠올리자."
M13_L0067,"Me, as the strange and insignificant monster\nI was; You, as the clumsy human you were;","그때의 이상하고 하찮은 괴물일 뿐이었던 나와,/n 서툰 인간이었던 너를."
M13_L0068,"and Us, as we are now, having\ntravelled through and arrived.",그리고 그동안의 여행을\n지나 도착한 지금의 우리를.
