Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
M9_L0001,In the bookcase. On the bed.\nBehind the poster.,책장 안. 침대 위. 포스터 뒤쪽.
M9_L0002,It’s not here. It’s not there.\nIt’s not anywhere.,보이지 않아. 보이지 않아.\n어디에도 보이지 않아.
M9_L0003,"<nickname>. You, you, you.\nDon’t tell me you cleaned?","<nickname>. 너, 너, 너.\n혹시 ‘청소’라는 걸 했어?"
M9_L0004,I did. Isn’t it refreshing?|I did get rid of the mold. Why?,어어... 곰팡이를 치우긴 했는데...
M9_L0005,No. No. It can’t be. It just can’t.,안 돼. 안 돼. 그럴 수 없어. 그럴 수는 없어.
M9_L0006,"So my friend, the one that\nlounged on the plate....",그러면 옴폭한 접시에 몸을\n누이고 살아가던 나의 친구를....
M9_L0007,You mean the mold.,곰팡이를.
M9_L0008,Was my friend a hazard to you?,나의 친구가 네게는 해악이었어?
M9_L0009,....,....
M9_L0010,(But I couldn’t stand the mold.\nHow should I put this?),(하지만 곰팡이의 무덤을 더는 견딜\n수가 없었어. 이걸 어떻게 설명하지?)
M9_L0011,"Well, Dot. Mold can be\nhazardous to people. It...","음, 뭉치야. 인간에게 곰팡이는 해악이야. 곰팡이는..."
M9_L0012,Its poison is awful for my lungs.|Just looking at its bluish form tears at my mind.,기관지에 나쁠 뿐더러... 주변으로 퍼지기까지 하거든.|푸르스름한 모양을 보기만 해도 마음이 진창이 돼.
M9_L0013,Blegh...,으으...
M9_L0014,But.. I thought you’d\ngrown to be friends?,"하지만 시간이 지나며 <nickname>,\n너와도 친구가 된 게 아니었어?"
M9_L0015,I had no idea he was\nsuch a bad influence.,인간에게 나쁜 영향을\n준다곤 생각치 않았어.
M9_L0016,"I, I, oh, I see. I wasn’t thinking.","난, 나는, 음, 그러게. 난 그것도\n모르고 그와 소중해졌네."
M9_L0017,"Dot, don’t say that. I had no idea either.\nNo idea the mold was a dear friend of yours.",......
M9_L0018,... A dear friend.,"... 그래, 너에겐 한낱 빵에 핀 더러운 곰팡이였지만."
M9_L0019,... Almost as dear as you.,그치만 나의 친한 친구였어. 나의.. 친한 친구.
M9_L0020,Dot... I truly am sorry.,뭉치야... 내가 정말 미안해.\n적어도 너에게 먼저 상의했어야 하는데.
M9_L0021,I could bring over a new patch of mold?\nThere’s some leftover rye bread...,새 곰팡이를 데려와 줄까?\n마침 먹다 남은 호밀빵이 있으니까...
M9_L0022,"Thank you, but it won’t be the same.",마음은 고마워. 하지만 그 곰팡이는\n내 곰팡이가 아닌 걸.
M9_L0023,"Even if I never see him again,\nI can’t just replace my friend.","내 곰팡이를 다시는 볼 수 없다 해도,\n새 곰팡이로 그를 대체하는 짓은 하지 않아."
M9_L0024,(That’s... fair.),(그건... 맞는 말이야.)
M9_L0025,I didn’t think it through.,응... 내 생각이 짧았네.
M9_L0026,I would be devastated if\nmy friend disappeared.,생각해 보면 나도 내 친구가\n사라지면 많이 슬플 텐데 말야.
M9_L0027,"Say, if I were to say\ngoodbye to you for good...",가령 너와 영영 이별하게 된다거나...
M9_L0028,That’s different. You and I will\nnever be apart for good!,그건 다르지. 나는 너와 영영 이별하지 않아!
M9_L0029,"If I become your dream, I can live\non forever inside you as your friend.","내가 <nickname>의 꿈이 된다면, 네 안에\n흡수되어 영영 친구로 지낼 수 있어."
M9_L0030,What? You will? So you\nweren’t just saying that?,응? 정말 그런 거였어? 문학적인 표현이 아니었어?
M9_L0031,(Something’s off. Dot seems to\nhave the wrong idea about dreams.),(무언가 이상하다. 뭉치가 꿈에\n대해 잘못 알고 있는 것 같다.)
M9_L0032,(Or there’s more to ‘dreams’ sent from\nthe Moon that I have yet to know of.),"(아니면, 내가 달나라의 ’꿈’에\n대해 모르고 있는 사실이 있거나.)"
M9_L0033,Dot. What do you think dreams are?,"뭉치, 인간의 꿈이 뭐라고 생각해?"
M9_L0034,Dreams.,꿈.
M9_L0035,Colorful and beautiful. Images that\ncommand the night. And so live on forever.,꿈이란 다채롭고 아름다운 것. 어느 밤을\n호령하는 것. 그렇게 영원해지는 것.
M9_L0036,"“Dreams, the eternal companion for humans!”\nThat was the Dream Factory’s slogan.","꿈 공장의 대문에는 이런 말이 적혀\n있었어. “인간의 영원한 친구, 꿈!”"
M9_L0037,"Dreams are what happen in your head, then\nbecome part of you and carry on forever.","너희의 머릿속에서 펼쳐진 다음, 흡수되어\n영원히 곁에서 살아남는 게 바로 꿈이잖아."
M9_L0038,(Can a dream... carry on?),(꿈을... 살아남는다고 표현하는 게 맞나?)
M9_L0039,"(Does Dot truly believe that dreams\nare eternal, based on that one slogan?)",(뭉치는 정말 그 대문의 구호 하나만 보고\n꿈이 영원한 것이라고 믿어 버린 건가?)
M9_L0040,"Dot, maybe that was just a saying?","뭉치야, 그건 단지 구호 같은 게 아니었을까?"
M9_L0041,Huh? What do you mean?,응? 그게 무슨 뜻이야?
M9_L0042,(Dot definitely has the wrong idea.)|(Based on Dot’s reaction... I should press for more.),(역시 뭉치가 착각하고 있는 것 같아.)|(확신은 없지만 반응을 보니... 더 이야기해 보자.)
M9_L0043,"I’m saying that the slogan is for the\nfactory workers, to boost their morale.",그러니까 공장 직원들의 사기를 북돋기\n위해서 써 놓은 희망찬 문구라는 거야.
M9_L0044,Dreams... probably aren’t eternal.,정말로 꿈이 영원하다는 뜻은... 아닌 것 같아서.
M9_L0045,Huh?,어?
M9_L0046,But dreams become a part of humans and carry\non forever. That’s why they’re eternal companions.,"꿈은 인간에게 흡수된 후, 보이지 않는 곳에서\n살아가는 거잖아. 그래서 영원한 친구인 거잖아."
M9_L0047,"And, if it isn’t so, then dreams...","왜냐면, 그런 게 아니라면, 꿈은..."
M9_L0048,"Dreams, dreams, they... dreams.","꿈은, 꿈은, 어... 꿈은."
M9_L0049,...,...
M9_L0050,Is that so...?,"으음, 그렇단 말이야...?"
M9_L0051,"Is there any chance you can stay as Dot\non Earth, instead of becoming a dream?",혹시 꿈이 되지 않고 뭉치의\n몸으로 지구에 남아 줄 수는 없어?
M9_L0052,I can’t.,그럴 수는 없어.
M9_L0053,(I didn’t expect such an outright refusal.),(이렇게 딱 잘라 거절하다니...)
