Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
S6_L0001,"What were you doing, Dot?","뭉치, 뭐 하고 있었어?"
S6_L0002,Nothing. Just looking at myself.,그냥. 내 몸을 바라보고 있었어.
S6_L0003,Beyond this black abyss.,아무것도 보이지 않는 이 검정 너머를.
S6_L0004,I’ve been meaning to ask.,궁금한 게 있어. 그때는\n차마 더 물어보지 못했지만...
S6_L0005,Why do you hate your\nblackness so much?,너는 네 검정을 왜 그렇게 미워하는 거야?
S6_L0006,... I think I can tell you now.,... 이제는 말해 줄 수 있을 것만 같아.
S6_L0007,Hate isn’t the right\nword for this emotion.,"사실, 미워한다는 표현과는\n상응하지 않는 감정이야."
S6_L0008,It’s much more impure. Grubby.\nSomething that runs deep.,"보다 불순물 가득하고, 농도\n짙으며, 청결하지 못하지."
S6_L0009,Crude and noiseless.,조악하고 소리 없어.
S6_L0010,"Some days it creeps upward\nbefore sinking down,","어느 날은 스멀스멀 기어오르다\n가라앉을 때도 있고,"
S6_L0011,"and other days it wraps around me and\n swallows me whole, wet and slimy.","어느 날은 온몸을 휘감으며 날 집어삼켰다가,\n타액 같이 질척한 잔여감을 남기기도 해."
S6_L0012,Disgust?|Fear?,혐오인 거야?|공포인 거야?
S6_L0013,Yes and no.,둘 다 정확하면서 부정확해.
S6_L0014,"Revulsion, distaste, hostility? Fear, self-hatred,\nloathing. No, no. Perhaps all of the above.","혐오, 공포. 불쾌함, 적개심? 자학, 미움.\n아니, 아니야. 그 모든 것일수도 있겠지만."
S6_L0015,But no word in the dictionary could\nbe enough to express how I feel.,사전 속 어떤 단어로도 나의\n이 감정을 표현하기에는 부족해.
S6_L0016,I think I understand.,그럴 수 있겠다고 생각해.
S6_L0017,(I know how Dot feels. Be empathetic.)|(Try to make Dot see differently.),(무슨 마음인지 알아. 공감한다.)|(뭉치의 생각을 바꿔 보려고 한다.)
S6_L0018,There are times when I look at\nmyself and hate what I see.,나 역시 스스로를 바라보며\n혐오를 느낄 때가 있지.
S6_L0019,"Most recently,","가장 최근의 경험을 이야기하자면,"
S6_L0020,And I don’t know if this will help...,그리고 위로가 될지는 모르겠지만...
S6_L0021,"But Dot, I don’t understand\nwhy you hate it so much.","하지만 뭉치야, 그렇게까지\n싫어하는 이유를 잘 모르겠어."
S6_L0022,"On Earth, black isn’t all that bad.|I like the color black. Yours too.",지구에서는 검정이 나쁘기만 한 색은 아니야.|나는 검정색을 좋아해. 당연 너의 검정도.
S6_L0023,Lots of humans think\nblack is cool and attractive.,인간들은 검정을 멋지고 매력적인\n색으로 여기는 경우가 많아.
S6_L0024,Just looking at it can soothe them.,검정을 가만히 보고 있으면 마음이\n가라앉으면서 편안해지기도 하지.
S6_L0025,It’s different from my black.\nThat’s just a pigment.,인간들이 좋아하는 검정은 ‘나의’\n검정과 달라. 그것은 그저 색소잖아.
S6_L0026,"(Hesitate.)|Isn't yours a pigment, too?",(머뭇거린다)|뭉치의 검정도 결국은 색소 아니야?
S6_L0027,Black is special and singular.\nIt’s cool and silent.,검정은 특별하고 개성 있잖아. 멋지고 고요해.\n그만의 강렬한 매력이 존재하거든.
S6_L0028,Just looking at it soothes me.,검정을 가만히 보고 있으면 마음이\n가라앉으면서 편안해지기도 하지.
S6_L0029,"It’s so very <i>you</i>. Small but clever,\na lovely ball of black!","뭉치 같아. 작지만 똑똑하고,\n사랑스러운 ‘검정’ 덩어리!"
S6_L0030,Every part of this sentence resembles you.\nEspecially the black part.,이 문장의 모든 요소가 빠짐없이\n너다운걸. 특히 검다는 수식이 말이야.
S6_L0031,......,......
S6_L0032,"Whether you seized the corner of my room\nas a pastel lump or the dark one that you are,","네가 나의 집의 구석을 점령한 ‘파스텔톤의’\n작은 덩어리든, 지금처럼 시커먼 덩어리든,"
S6_L0033,"to me, you’re you.\nAnd I like your black.",나에게 너는 그냥 너야.\n그리고 난 뭉치의 검정이 좋아.
S6_L0034,(Dot isn’t saying anything...),(뭉치가 말이 없네...)
S6_L0035,You like <i>my</i> black?,나의 검정이 좋다고?
S6_L0036,...... <nickname>.,...... <nickname>.
S6_L0037,...... Yes?,...... 응?
S6_L0038,How you or other humans see and interpret\nthe color black has nothing to do with me.,"너나 다른 인간들이 검정을 어떻게 바라보며\n어떻게 인식하든, 그것은 나와 상관 없는 일이야."
S6_L0039,"It doesn’t disgust me from my very core,\nnor does it taint your very soul.","그 검정은 나를 단전부터 징그럽게 하지도,\n너를 영혼부터 오염시키지도 않아."
S6_L0040,My black is different from theirs.\nYou really had no idea? This whole time?,나의 검정과 다른 검정들은 다르다니까.\n그걸 정말 모르고 있던 거야? 줄곧?
S6_L0041,This.,이건.
