Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
SD5_L0001,The curtain rises. Applause fills the room.,"커튼이 열린다. 자, 어서 박수를 쳐."
SD5_L0002,The small piece of luck buried in the Vasilopita cake has been waiting.,바실로비타 빵에 파묻힌 행운이 목 빠져라 기다리고 있어.
SD5_L0003,The one who takes that lucky coin will be the star of the party.,"행운의 동전을 가지는 자야말로 바로 오늘, 파티의 주인공이야."
SD5_L0004,"The best gifts are the ones you didn’t see coming, right?",예상치 못한 선물이 더욱 강렬한 기쁨을 선사하는 법이잖아?
SD5_L0005,"The radiant lights, the pounding beat,",찬란한 불빛과 내려 찍는 비트
SD5_L0006,the hundreds of eyes tracking your every move.,모든 그대의 자취를 기억하는 백 쌍의 눈동자.
SD5_L0007,Exhilarating.,흥이 오르지.
SD5_L0008,Electrifying.,고양되고.
SD5_L0009,"The party, in full swing.",과열된다.
SD5_L0010,But fate was searching for that one lucky person.,하지만 운명은 행운의 주인공을 찾고 있었어.
SD5_L0011,Is it you?,너지?
SD5_L0012,You?,너야?
SD5_L0013,How about you?,너는?
SD5_L0014,"“WOW, I dig your moves.”","‘오, 네 춤사위 한번 간드러진다.’"
SD5_L0015,"Without any warning, she…",어떤 예고도 하지 않고 그렇게.
