Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
S5_L0001,<nickname>!,<nickname>!
S5_L0002,I saw the most peculiar person on TV.,티비에서 이상하게 생긴 인간을 봤어.
S5_L0003,"One head, one body and\ntwo legs just like everyone else...","똑같이 머리도 하나, 몸도\n하나, 다리도 두 개였지만..."
S5_L0004,"But their neck was as long as a pipe,\nand their head as small as a pea.","목은 가로등처럼 길었고,\n머리는 완두콩만큼 작았어."
S5_L0005,"Their body was bloated and\nround like a beach ball,","몸통은 체형에 비해 비대하게 둥글었고,"
S5_L0006,and their legs were like twigs\na second away from snapping.,다리는 부서지기 직전의\n나뭇가지처럼 앙상했지.
S5_L0007,And! And!,그리고! 그리고!
S5_L0008,They were a most fruity and\nrefreshing shade of pink!,아주 상큼한 맛이 나는\n분홍빛을 띄고 있었어!
S5_L0009,Um... I don’t follow.\nYou said they were human?,어... 잘 모르겠다. 인간이었다고?
S5_L0010,Could you draw them for me?,그림이라도 그려 줄래?
S5_L0011,Hmm... Hmm! I’m not really a painter...,음... 음. 그림엔 소질이 없는데.
S5_L0012,How about this?,대신 이건 어때?
S5_L0013,They looked like this.,이렇게 생겼었는데.
S5_L0014,I can’t recreate that beautiful pink...,그의 아름다운 분홍빛이\n결여되어 있다는 것만 제외하면...
S5_L0015,but I guess this will do.,그런 대로 비슷한 것 같아.
S5_L0016,Where on earth do these\npeople come from?,이런 인간은 어디에 사는 어떤 인간이야?
S5_L0017,"Haha, Dot! That’s not a person!\nThat’s what we call a ’flamingo’.","하하, 뭉치! 그건 인간이 아니야!\n플라밍고라는 새를 본 것 같은데?"
S5_L0018,A flamingo? So they aren’t human?,플라밍고? 인간이 아니야?
S5_L0019,Oh! Oh my.,"어, 부끄러워."
S5_L0020,"♫ I wonder how, I wonder why ♫","♫ I wonder how, I wonder why ♫"
S5_L0021,"♫ Yesterday, you told me\n’bout the blue, blue sky ♫","♫ Yesterday, you told me\n’bout the blue, blue sky ♫"
S5_L0022,♫ And all that I can see is\njust a yellow lemon tree ♫,♫ And all that I can see is\njust a yellow lemon tree ♫
S5_L0023,Is that a new song you learned?|I see a great singer in the making.,"뭉치, 새로 배운 노래야?|멋진 가수의 새싹이 자라고 있군."
S5_L0024,"Yes, it’s called “Lemon Tree.”","응, “레몬 트리”라는 노래야."
S5_L0025,"The song is called “Lemon Tree”,\nand it’s going to be my ticket to stardom.",날 팝 스타로 만들어 줄 이 곡은 \n“레몬 트리”라는 이름을 가지고 있어.
S5_L0026,I’m not sure what the lyrics\nare about but it sounds nice!,가사가 무슨 뜻인진\n잘 모르겠지만 듣기 좋아!
S5_L0027,I think I’d like lemons. I heard that\nthey taste like... sharp sparkles!,난 분명 레몬을 좋아했을 거야.\n날카롭게 반짝이는 맛이라고 들었거든!
S5_L0028,You may be talking about the taste “sour.”,그걸 “신맛”이라고 표현해.
S5_L0029,"Also, um... I’ve heard the lemons\nin the lyrics symbolize melancholy?","그리고, 음... 사실 노래 가사 속\n레몬은 우울을 상징할걸?"
S5_L0030,What?!,뭐라고?!
S5_L0031,...,...
S5_L0032,Oh wow. I didn’t even notice. I didn’t\ncatch any of that on my tongue.,우와. 눈치조차 못 챘어. 혀끝에\n어떠한 감각도 없었단 말이야.
S5_L0033,...,...
S5_L0034,"Why? Is it because lemons are sour,\nor because they’re yellow?","왜일까? 레몬이 신맛이어서,\n아니면 노란색이어서?"
S5_L0035,"Oh, oh! I think I figured it out!","아, 아! 알겠어!"
