Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
M3_L0001,<nickname>!,<nickname>!
M3_L0002,How have you been?,잘 지냈어? 오늘도 들려줄 이야기가 있어!
M3_L0003,"<nickname>, would you\nlike to know a secret?","<nickname>, 비밀을 하나 알려 줄까?"
M3_L0004,She wasn’t afraid to show what was under\nher hat. She was looking forward to it.,그녀는 모자 속을 보여 주기를 두려워하지\n않았어. 오히려 기대하고 있었지.
M3_L0005,To what?,무엇을?
M3_L0006,To someone seeing her\nand all her faces.,누군가가 자신의 모든 면들을 알아봐 주길.
M3_L0007,And to have each and every\nversion of her understood.,그리고 매번 보여 주는 모습이\n다른 자신이 이해받을 수 있기를.
M3_L0008,She was waiting for a long time.,오랫동안 기다려 왔던 거야.
M3_L0009,I wonder how she felt? I’m not sure yet.|I think I understand how she felt.,그건 어떤 마음일까? 아직 잘 모르겠어.|그녀가 어떤 마음이었는지 알 것 같아.
M3_L0010,Some desires are hard to fathom.,가늠하기 힘든 갈망이 있지.
M3_L0011,But I think I understand. I know the feeling.,그런데 난 조금 알 것 같아. 실은 나도 비슷하거든.
M3_L0012,You have steep edges like that too?,너도 그런 가파른 구석을 가지고 있는 거야?
M3_L0013,I do too. I know the feeling.,나도 그래. 실은 나도 비슷하거든.
M3_L0014,I struggle between hoping you won’t discover\nmy vile self and longing for you to draw closer.,"<nickname>, 너에게 내 추악한 몰골을 들키지 않기를\n바라면서 한편으로는 한없이 가까워지길 원하고 있으니."
M3_L0015,What do I look like to you?\nWhat face do you know me by?,네가 보는 지금의 나는 어때?\n어떤 모습에 가장 가까워?
M3_L0016,A chatterbox of an alien being|A black bookworm from the moon|A slightly difficult but special friend|I’m not sure just yet.,수다 떨기를 좋아하는 외계 생명체|달에서 떨어진 검은 책벌레|조금 까다롭지만 특별한 친구|아직은 잘 모르겠어
M3_L0017,... Really?,... 정말이야?
M3_L0018,"You’re right. A chattering blobby creature,\ndistinctly not human. One of my faces.","맞아. 조잘거리는, 인간이 아닌\n 괴물. 내 모습 중 하나지."
M3_L0019,It truly is exquisite to breathe in\nbooks and their many scents.,다채로운 향을 가진 책을 음미하는\n시간은 정말이지 완벽해!
M3_L0020,And so is talking to a human such as you.,물론 너라는 인간과 대화하는 시간도 마찬가지야.
M3_L0021,... I won’t deny that I’m difficult.,... 내가 까다롭다는 걸 부정하지는 않을게.
M3_L0022,"But <nickname>, I’ll always be here\nwaiting whenever you want.","하지만 <nickname>, 네가 원한다면 언제든\n이 자리에서 너를 기다리고 있을 거야."
M3_L0023,Mm... I see. Just know that there is so\nmuch more to me you don’t know yet.,으음... 그렇구나. 네게 아직 보여 주지\n못한 모습들이 많다는 것만 알아줘.
M3_L0024,I have so many stories to tell you!,앞으로 너에게 들려줄 이야기가 무궁무진해!
M3_L0025,"<nickname>, what about you? Do you have\na thousand faces like the White Hat?","<nickname>, 너는 어때? 너도 하얀 모자처럼\n수많은 얼굴을 가지고 있어?"
M3_L0026,"Do they change freely through space and time,\nshaped by who you meet and what you feel?","공간, 태양의 고도, 함께하는 이에 따라\n보여 주는 모습이 달라지기도 해?"
M3_L0027,Now I want to hear about you.,이제 네 이야기를 듣고 싶어.
M3_L0028,I want to be intimately\naware of your deepest shades.,네가 가진 내밀한 빛깔을 속속들이 알고 싶어.
M3_L0029,From the ordinary ones everyone else has,누구나 가진 것 같이 평범해 보이는 모습도 좋아.
M3_L0030,to the sticky and prickly parts you keep hidden.,"또는 남몰래 숨겨 왔던, 들춰 보면\n끈적거리거나 따가운 부분까지도."
M3_L0031,"Well, sometimes I...","음, 나는 말이지..."
M3_L0032,giggle like a child when eating good food.|weep while watching sad movies.|ponder silently when I’m alone.|act silly with the ones I love.,맛있는 음식을 먹으면 아이같이 기뻐해.|슬픈 영화에 몰입하며 눈물 흘리기도 해.|혼자일 때면 조용히 사색해.|사랑하는 사람들과 실없는 대화를 해.
M3_L0033,look at one’s pain and feel relieved it’s not mine.|strive to act my best in front of others.|constantly compare myself to my close ones.|judge the status of those I meet.,타인에게 닥친 불행을 건너보며 안도해.|남에게 잘 보이기 위해서 갖은 애를 써.|가까운 사람과 나를 끊임없이 비교해.|마주치는 사람의 위치를 계산해.
M3_L0034,am addicted to the heady thrill others give me.|hide my emptiness and fake perfection.|act irrationally out of thundering emotions.|want to linger in the shimmering past.,타인이 주는 위험한 쾌감에서 헤어 나오지 못해.|텅 빈 나를 숨기고 완벽한 나로 인정받으려 해.|몰아치는 감정에 휩쓸려 평소와 다른 일을 해.|빛나던 과거에 영원히 머물러 있고 싶어해.
M3_L0035,"I see. <nickname>, you are beautiful\nfor each and every one of your faces.","그렇구나. <nickname>, 여러 개의\n얼굴을 품고 있는 네가 아름다워."
M3_L0036,Perhaps those countless faces within\nare what makes humans so colorful.,어쩌면 인간 내면에 엉켜 있는 수많은 얼굴들이\n인간을 더욱 다채롭게 만드는 것일지도 몰라.
M3_L0037,"But what I see, feel, and infer from your\nwords... is only a very, very small part of you.","하지만 내가 보고 느끼고 너의 말로 유추할 수\n있는 부분은 너의 아주, 아주 일부분에 불과해."
M3_L0038,You change depending on who you’re with.\nLike how you treat the mold and me differently.,누구와 함께하는지에 따라 너는 달라지겠지. 곰팡이를\n대할 때와 나를 대할 때의 네가 다른 것처럼.
M3_L0039,"The you of yesterday, of a few hours later,\nand of tomorrow will surely be different.","어제의 너와 몇 시간 후의 너, 내일의\n너도 분명히 조금씩 다를 거야."
M3_L0040,"Time collects, layer by layer—like dust\non the shelf, always out of sight.",시간이 책장 위 먼지처럼 눈치 채지 못한\n사이 켜켜이 쌓이고 있으니 말이야.
M3_L0041,"<nickname>, what does the\ninside of your hat look like?","<nickname>, 네 모자 속은 어떤 모양이야?"
M3_L0042,Will grasping all that’s inside\nlead me to the ‘real’ you?,그 안에 있는 것들을 양껏 모아 쥐면\n‘진짜’ 너에게 발돋움할 수 있을까?
M3_L0043,The real me...?,‘진짜’ 나...?
M3_L0044,"Oh, Dot. You think there’s one\nreal face out of all of them?","아, 뭉치 너는 내 여러 모습들 중에\n‘진짜’가 있다고 생각하는 거야?"
M3_L0045,Yes. The one face from which all others come\nfrom. Isn’t that what people mean by real?,응. 모든 모습들의 근원이 되는 ‘단 하나’ 말이야.\n그걸 ‘진짜’라고 말하는 거 아니야?
M3_L0046,"Wait, wait. What does it mean to be ‘real’?","잠깐, 잠깐... ‘진짜’가 뭐지?"
M3_L0047,"Are you born with it? Does it never,\nunder any circumstances, change?","가지고 태어나는 것? 절대로, 무슨 일이\n있어도 변하지 않는 것인가?"
M3_L0048,"Like planted seeds wriggling within myself--\nirrevocable, terrible, yet untraceable?","나에겐 돌이킬 수 없는, 처절한, 더는 찾을 수\n없는, 심어진 씨앗 같은 것들이 우글거리는데?"
M3_L0049,Say I was born from a crimson kind of evil\nthat urges humans. Like a sharp push.,"이를 테면 내가 인간을 칼날 같은 충동으로\n들이미는 새빨간 악에서 조야하게 태어났다는 것,"
M3_L0050,Or that I wake up every morning and\nstretch out my vast void of a body.,매일 아침 거대한 심연을 닮은\n몸뚱이로 기지개를 켜야 하는 것.
M3_L0051,"These things, squished and\nspat out, are the real me?",이들을 마구 쥐었다 뱉은\n덩어리 따위가 ‘진짜’ 나라고?
M3_L0052,(But who knows if a ‘real’ self even exists?)|(But I don’t think Dot is fake at all.),(하지만 '진짜' 본모습의 존재 자체가 불확실한걸...)|(내가 보는 뭉치의 모습이 가짜라고 생각하지 않아.)
M3_L0053,"No, Dot. The very concept of something\nbeing real might be made up.","아냐, 뭉치. 모든 모습들의 근원이 되는\n‘진짜’라는 것조차 만들어진 허상일 수 있어."
