Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
S10_L0001,"<nickname>, you’re back.","<nickname>, 돌아왔구나."
S10_L0002,Something from the streets\npiqued my curiosity.,창밖의 거리를 구경하다 궁금한 게 생겼어.
S10_L0003,"I saw humans in groups, smiling.",인간들이 삼삼오오 모여 군집을\n이룬 채 웃고 있는 모습을 봤거든.
S10_L0004,"It was a moment that will end up a page\nin their ‘memory’, one stored with care.",그 순간은 그들에게 ‘추억’ 한 장이\n되어 고이고이 간직되겠지.
S10_L0005,So... do you have human friends?\nDo you make memories with them?,"있지, 너에게는 다른 인간 친구들도\n존재해? 그들과 추억을 나눠?"
S10_L0006,"Yes, of course.|Hm, not really.","그럼, 당연하지.|음, 없는 것 같아."
S10_L0007,...! I see.,...! 그렇구나.
S10_L0008,Do you feel a ‘kinship’ with\nthem and laugh together?,그들과 ‘동질감’을 느끼며\n함께 웃음을 터트리기도 해?
S10_L0009,"Yes, I think that’s the best part of having\nfriends. Those little moments gather","응, 그게 친구의 묘미인 것 같아. 그\n사소하고 자잘한 웃음들이 모여서"
S10_L0010,"to bring us closer, and, in turn, we create\neven more special memories together.","우리는 친밀해지고, 더욱 고유한\n추억들을 함께 만들어 나가는 거야."
S10_L0011,That’s how I think relationships\nbecome more tight-knit.,그렇게 관계의 밀도가\n깊어 간다고 생각해.
S10_L0012,Memory...,추억...
S10_L0013,How do you become a ‘memory’\nto someone without fail?,"누군가에게 확실하게, 오차 없이\n‘추억’으로서 존재하려면 어떻게 해야 해?"
S10_L0014,Spend plenty of time together. Those\ntimes accumulate as memories.,오랫동안 함께하면 되지. 긴 시간을\n보내며 기억을 축적하면 돼.
S10_L0015,"It’s what you and I\nare doing right now, see?",우리도 추억을 만들어 가는 중인 걸?
S10_L0016,... Really? How?,... 정말? 왜?
S10_L0017,I’m not interested in making ties with people.|I don’t feel close enough with my acquaintances.,타인과 관계 맺는 건 관심사가 아니야.|친구라 정의할 만큼 가까운 지인이 없어.
S10_L0018,"So even though I’m ugly and useless,\nI’m your one and only friend?","비록 못나고 보잘것없는 몸이지만, 이런\n내가 무려 너의 유일한 친구인 거야?"
S10_L0019,"I guess so.|Yes, the one and only!","그런 셈이지.|응, 유일한 친구!"
S10_L0020,Then you have a special\n‘memory’ with me as well?,그렇다면 너도 나와의\n고유한 ‘추억’이 있는 거지?
S10_L0021,"Of course. More accurately, I think we’re\nin the process of making memories.",그럼. 정확히는 우리가 추억을\n만들어 나가는 중이라고 생각해.
S10_L0022,"This is just me, but to call\nsomething a ‘memory’","내 기준이지만, 추억이라\n불리는 게 자연스러우려면..."
S10_L0023,I think it needs to be\nway back in the past.,지금보다는 훨씬 과거의\n일이 되어야 하는 것 같아.
S10_L0024,Or it needs to have accumulated\nfor a longer period.,혹은 더 긴 시간 동안\n축적해 나가야 했거나.
S10_L0025,"... Yes, I think I understand.","... 응, 알 것 같아."
S10_L0026,Hm. I have another question.,으음. 한 가지 질문이 또 생겼어.
S10_L0027,"If it hasn’t accumulated for a long\nwhile, can it still be a ‘memory?’",긴 시간 동안 켜켜이 쌓이지 않았다면\n‘추억’이 될 수 없는 걸까?
S10_L0028,What about moments?,아주 짧았던 찰나의 시간은?
S10_L0029,Do those seconds deserve\nto be called a memory?,그 시간에게도 추억이라 불릴\n가치나 자격이 존재할까?
S10_L0030,Hm... sure! Brief but electrifying\nand beautiful moments.,"음... 그럼! 짧지만 강렬했던 어느\n아름다운 순간을 회상할 때,"
S10_L0031,I think those deserve\nto be called a memory.,그때에도 추억이라는\n이름을 붙여 주는 것 같아.
S10_L0032,"A sweltering summer spent\nyearning for a special someone,","여름 한 철 짝사랑했던\n사람을 떠올릴 때나,"
S10_L0033,"or a few days spent at a\ncathartically cozy destination,","단지 며칠 머물렀을 뿐인 낯선\n여행지의 풍경이 눈물 나게 포근했을 때,"
S10_L0034,or...,혹은...
S10_L0035,A beautiful moment. A recollection.,아름다운 순간. 그리고 회상.
S10_L0036,......,......
S10_L0037,......,......
S10_L0038,That’s all it takes to become a ‘memory.’,그것뿐이어도 ‘추억’이\n되기엔 충분하구나.
S10_L0039,All experiences must want\nto become memories.,모든 기억들은 분명\n추억이 되고 싶어 할 거야.
S10_L0040,"Whether they are lovingly\ndistorted, or starkly etched.","아름답게 왜곡되든,\n적나라하게 각인되든."
S10_L0041,"They’d want to linger, reminisced\nwith a smile as a fond memory.","그들은 오래도록 남아, 추억으로서 옅은\n미소와 함께 회상되기를 바랄 것만 같아."
S10_L0042,That feeling...,그 마음을...
S10_L0043,I know that feeling...,그 마음을 나는...
S10_L0044,<nickname>,<nickname>
S10_L0045,......,......
S10_L0046,You’re late.,늦었네.
S10_L0047,The sun is scorching. It dared to creep in.,태양이 작열하고 있어. 기어코 창문을 넘었어.
S10_L0048,"Its fingertips aren’t made\nfor stroking, only hurting.",저 간드러지는 손끝은 날 쓰다듬으러 오지 않았어.
S10_L0049,"It’s here to invade my peace, my dark, heavy\npeace. To snatch it away and burn it up.",내 평화를 침범하고 낚아채고 질식시킬\n거야. 나만의 어둡고 묵직한 평화를.
S10_L0050,"Little by little it will blind my sight,\nand inch by inch rake my skin.","천천히 내 눈을 멀게 하고, 내 온몸을 날카로운\n손톱으로 긁어대며 끽끽 끽끽 기어다닐 거야."
S10_L0051,......,......
S10_L0052,"I tried to draw the blinds, <nickname>,\nbut they were just out of reach.","<nickname>, 저 창문 가리개를\n닫으려 했지만 몸이 닿지 않았어."
S10_L0053,My mind is screaming at me. Help...,"정신이 새된 비명을 질러. 아, 아, 도와줘..."
S10_L0054,(Reach out and shield Dot.)|(Gently stroke Dot.),(손을 뻗어 뭉치를 가려 준다.)|(뭉치를 살살 쓰다듬어 준다.)
