Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
M12_L0001,Dot! What’s wrong!,뭉치야! 무슨 일이야!
M12_L0002,... Oh. <nickname>.,... 아. <nickname>.
M12_L0003,I didn’t want you to see me like this.,이런 모습은 결코 들키고 싶지 않았는데.
M12_L0004,"My body has melted, and I can’t get out.",몸이 녹아서 빠져나올 수가 없었어.
M12_L0005,.....,.....
M12_L0006,Need my help?|I’ll help you.,꺼내 줄까?|꺼내 줄게.
M12_L0007,"No, that’s alright. I don’t want you\ntouching this mushy, sticky stuff.","아니, 괜찮아. 처음에는 살이 에이는\n따가움을 느꼈지. 하지만 꽤 무뎌졌어."
M12_L0008,"All this darkness might smear\nyour skin. If that happens, I’d just...",게다가 이 물컹한 걸 만지지 않으면 좋겠어.\n네 피부에 이 검정이 옮기라도 한다면... 난 정말이지...
M12_L0009,...,...
M12_L0010,(…This isn’t alright. I need\nto get Dot out of there.),(괜찮은 게 아니잖아... 당장 꺼내 줘야만 해.)
M12_L0011,......,......
M12_L0012,......,......
M12_L0013,......,......
M12_L0014,... Why are you in the cup?|Can I ask what’s going on?,... 컵 속에는 왜 들어간 거야?|무슨 일인지 물어봐도 될까.
M12_L0015,"It’s, it’s...","그러니까, 그러니까..."
M12_L0016,"I... I met, death, today.","오늘 나는... 죽음을, 죽음을 만났어."
M12_L0017,"Death, silently lurking in the sewers.",소리 없이 하수구 속에 도사리던 ‘죽음’을.
M12_L0018,.....,.....
M12_L0019,.....,.....
M12_L0020,"I didn’t feel like looking into anyone’s dreams,\nso I was crawling on the asphalt on my own.","오늘은 그 누구의 꿈도 들여다보고 싶지 않아서,\n홀로 아스팔트 위를 기어다니고 있었어."
M12_L0021,"I think the lights blinked twice, or a pointy\nshoe passed by... that’s when it happened.",신호등이 두 번 깜빡였던가. 뾰족한 구두가\n옆을 지나갔던가... 아마 그때였을 거야.
M12_L0022,"I met death, lurking in the sewers.",내가 하수구 속에 도사리던 ‘죽음’을 만난 것은.
M12_L0023,"It was agonizing to look death straight on,\njust as I imagined. No, so much worse.","죽음을 똑바로 바라보는 건 예상했던 것만큼,\n아니 그보다 몇 배는 더 괴로웠어."
M12_L0024,"I, I, I...","나는, 나는, 나는..."
M12_L0025,"I’ve tolerated this dark body, hanging\nonto the thinnest thread of hope.",아주 작은 희망 하나로\n내 검은 몸을 버텨 왔는데.
M12_L0026,"But now, like a dream retreating with no mercy\nin the morning... it’s extinguished. For good.",그 희망은 난도질되었어. 아침이면 가차 없이\n막을 내리는 간밤의 꿈처럼... 휘발되었지. 영영.
M12_L0027,All roads lead to death.,어떤 길을 택해도 그 끝이 죽음이라니.
M12_L0028,But I so longed to be a human’s dream.,"정말이지, 미치도록 인간의\n꿈이 되고 싶었단 말이야."
M12_L0029,"I wanted to live, live and be perfected\nas something entirely colorful.","살아서, 살아남아서 가장 다채롭게\n완성되고 싶었단 말이야."
M12_L0030,"Yet, yet, yet.","그런데, 그런데, 그런데."
M12_L0031,Why does everything have to be so hard and\nsuffocating? Why must I be <i>me</i>?,왜 이렇게 모든 게 어렵고 숨 막히는 거야?\n왜 나는 하필 나여야만 하는 거야?
M12_L0032,There isn’t much I can do for you.,내가 지금 해 줄 수 있는 게 많지는 않아.
M12_L0033,"But, as your friend,","하지만, 너의 친구로서"
M12_L0034,I can share your burden.|I can try to keep you safe.,너의 마음을 들어 줄 수는 있어.|널 안전하게 지키려고 노력할 거야.
M12_L0035,So tell me why you had\nto fit yourself in the cup.,그러니 왜 물컵에 들어가야\n했던 건지 설명해 줘.
M12_L0036,.... The truth is.,..... 사실.
M12_L0037,The truth is.,사실.
M12_L0038,....,.....
M12_L0039,I wanted to relieve this surging frustration.\nI thought the relief would be worth the pain.,솟구치는 답답함을 해소하고 싶었어. 그 해방을\n위해서라면 내 몸쯤은 해쳐도 된다고 생각했어.
M12_L0040,"The human I met before. He smashed\nhis head against the wall,",며칠 전 만났던 그 인간. 그는 벽에 머리를 박으며
M12_L0041,and seemed to feel a relief\nas strong as the pain.,통증만큼이나 강한 해방감을 느끼는 것 같았어.
M12_L0042,I’m sorry. It’s hard to explain.,미안해. 잘 설명할 수 없어.
M12_L0043,"No, you’re doing well.|(Keep on listening.)",아니야. 잘하고 있어.|(침묵하며 듣는다.)
M12_L0044,"When my heart crumbled, in a fit of despair","마음이 무너져 내린 모든\n순간, 걷잡을 수 없는 새에"
M12_L0045,I remember the desire\nfor relief taking control.,그 해방에 대한 욕구가 날\n지배했다는 것만 기억나.
M12_L0046,"I’ve tried banging my head on\nthe wall, and ripping out my skin.","책장 벽에 머리를 박아 보기도\n했고, 피부를 쥐어뜯어 보기도 했어."
M12_L0047,Stayed up the night\nthinking of hurting myself...,밤새 스스로를 해치는\n생각들을 하기도 했고...
M12_L0048,"I’ve sat in clean water, loathing my blackness.",나의 검정을 증오하며 깨끗한\n물에도 앉아 있어 봤지만.
M12_L0049,"And as you can see, nothing’s changed.",보다시피 나아진 것 아무것도 없지.
M12_L0050,"I’ll die as a dream, and still be revoltingly\ndark. Not a single question resolved.","나는 꿈이 되어 죽게 될 테고, 여전히 징그러울\n지경으로 시커멓고, 해결된 의문은 단 하나도 없어."
M12_L0051,Now when you see me you’ll recall this\nghastly scene. I can’t do anything right.,"이제 너는 나를 볼 때마다 이런 추잡한 장면을 함께 \n떠올리겠지. 제대로 할 줄 아는 것도 없는 거야, 나는."
M12_L0052,(Sigh deeply.)|(Look at Dot warmly.),(깊은 한숨을 쉰다.)|(따뜻하게 뭉치를 바라본다.)
M12_L0053,... You’re saying you had no choice\nin the face of your mental pain.,... 너의 정신적 고통에 대한\n어쩔 수 없는 선택이었다는 거잖아.
M12_L0054,"I get it, but...",알겠어. 알겠는데...
M12_L0055,"See, quite a number of humans do things\nthat can be classified as ‘self-harm.’","실은, 꽤 많은 인간들 역시\n‘자해’로 분류되는 행동을 해."
M12_L0056,"I would be lying if I said I wasn’t surprised,","놀라지 않았다면 거짓말이지만,"
M12_L0057,but you’re saying you had no choice\nin the face of your mental pain.,너의 정신적 고통에 대한 어쩔\n수 없는 선택이었다는 거잖아.
M12_L0058,I get it. I’ve watched you suffer.|I... know that frustration too well.,이해해. 아파하던 널 옆에서 지켜봤으니까.|공감해. 그 막막함을... 나도 너무 잘 아니까.
M12_L0059,"When you can’t breathe or think straight,","숨을 쉴 수 없을 때, 정상적인\n사고가 되지 않을 때,"
M12_L0060,and are drawn to things you know\naren’t right. That wrong impulse.,올바르지 않은 걸 알면서도 그곳으로\n이끌리게 되는 못난 충동을 알고 있지.
M12_L0061,But Dot.,"하지만, 뭉치."
M12_L0062,I just wish it won’t happen again.\nThink about how it makes me feel.,이런 일이 반복되지 않았으면 좋겠어.\n그런 너를 보는 내 마음도 생각해 줘.
M12_L0063,....,......
M12_L0064,....,......
M12_L0065,<nickname>...,<nickname>...
M12_L0066,Yes?,응?
M12_L0067,I can’t promise you anything.\nI’m scared it will happen again.,확답을 주지 못할 것 같아. 반복될까 봐 두려워.
M12_L0068,"After the initial pain, I felt truly alive.","일시적인 아픔이 지나고, 나는 그보다\n강하게 살아 있음을 느꼈어."
M12_L0069,I could finally breathe,막혔던 숨이 시원하게 뚫리고
M12_L0070,and the fog that had wrapped itself around\nme like vines took a solid form labeled ‘pain.’,덩굴처럼 어지럽게 날 휘감던 안개가\n‘통증’이라는 분명한 몸을 가지기 시작했어.
M12_L0071,"It... felt like relief, for a split second.",그건... 순간이지만 정말 해방 같았어.
