Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
S2_L0001,"<nickname>,","<nickname>,"
S2_L0002,I'll tell you a secret.,비밀을 알려 줄게.
S2_L0003,I can read your thoughts.,난 너의 생각을 읽을 수 있어.
S2_L0004,You cannot.,"에이, 설마!"
S2_L0005,I can so. I'll prove it.,정말이야. 증명해 볼게.
S2_L0006,Imagine.,상상해 봐.
S2_L0007,You're walking in the woods.,넌 숲속을 걷고 있어.
S2_L0008,"Suddenly, the path you're\non diverges into two.","그러던 중, 갑자기\n길이 두 갈래로 나뉘어."
S2_L0009,"One is a brick-lined road,\nbright with sunshine.",한 쪽은 햇살이 가득한\n벽돌 깔린 길이야.
S2_L0010,Fragrant flowers neatly grow on the side,옆엔 향기로운 꽃들이 피어 있고
S2_L0011,"and the red, orange, and yellow\nof the blooms catch your eye.","붉은색, 주황색, 노란색\n꽃망울이 눈을 사로잡아."
S2_L0012,The other has trees of all sizes\nstretching out from everywhere.,다른 쪽은 다양한 크기의 나무들이\n아무데서나 자라고 있어.
S2_L0013,Thick greenery sways\nwildly with the wind,짙은 녹음은 바람에 맞추어\n제멋대로 흔들리고
S2_L0014,and a calm darkness\nblankets the scene.,잔잔한 어둠이 평화로이 내려앉아.
S2_L0015,Which path would you choose?,어느 길을 고를 거야?
S2_L0016,The road with flowers.|The tree-filled road.,꽃이 핀 길.|나무로 우거진 길.
S2_L0017,It seems beautiful and safe.,아름답고 안전해 보여.
S2_L0018,Hmm. Interesting!,으음. 흥미로워!
S2_L0019,Okay.,좋아.
S2_L0020,"Then, as you are walking\nyour chosen path,","그렇게 선택한 길을 따라 걷고 있던 너는,"
S2_L0021,you see a pouch of water and\na dog on the side of the road.,길가에 물 주머니와 강아지\n한 마리가 있는 걸 봤어.
S2_L0022,A note beside it says:,그 옆에 있는 종이엔 이렇게 적혀 있지.
S2_L0023,“You may wish to take two\nbut can only take one.”,“당신에겐 두 손이 있겠지요. 하지만\n다음 행인을 위해 하나만 가져가세요.”
S2_L0024,It seems you can choose only one.\nWhich would you take with you?,오직 하나만 선택할 수 있나 봐.\n어떤 걸 가져갈래?
S2_L0025,"The pouch of water, of course. | The dog.",물론 물 주머니지. |당연히 강아지....
S2_L0026,I may have a long way to go.,갈 길이 멀지도 모르니까.
S2_L0027,Fascinating!,신기하다!
S2_L0028,"Now, let's take a look at the results.","자, 같이 결과를 보자."
S2_L0029,The first choice reveals\nyour deepest fear.,첫 번째 질문은 너의 가장\n깊은 두려움을 드러내.
S2_L0030,You chose the road with flowers.,넌 꽃이 핀 길을 골랐지.
S2_L0031,It's bright and safe. Birds are chirping\nand butterflies rest on your shoulder.,그곳은 밝고 안전해.새가 지저귀고\n나비가 네 어깨에 내려앉지.
S2_L0032,But how about the\npath lined with trees?,다만 나무들이 우거진 길은 어떨까?
S2_L0033,At first the cool shade\nmay have pleased you.,처음에는 서늘한 그늘이 만족스러웠겠지.
S2_L0034,But the looming shadows might\nswallow you before you know it!,하지만 어느새 거대해진\n그림자들이 너를 삼킬지 몰라!
S2_L0035,"You're afraid of the\ndarkness, aren't you?",너는 분명 어둠에 대한 두려움이 있을 거야.
S2_L0036,"Afraid of the unknown, of what might\nleap out at you from who knows where!","어둡고 비밀스러운 것, 어디에서 무엇이\n튀어나올지 모르는 미지의 공포를 마주하는 것!"
S2_L0037,Think back to your very first\nnightmare when you were little!,어릴 때 꾸었던 최초의 악몽을 기억해 봐!
S2_L0038,"You were on a mountain\nroad past midnight,",분명 자정 넘어 산길을 걷다...
S2_L0039,and a vicious beast tore you\nto shreds with its teeth!,서슬 퍼런 짐승의 어금니에 붙잡혀\n뜯겨 나가던 꿈이었을 거야!
S2_L0040,"Then, the second choice.",두 번째 질문으로 넘어갈게.
S2_L0041,It was about who you are when\nfaced with an unsure future.,불확실한 미래를 앞두고 어떻게\n행동하는지에 대한 질문이었어.
S2_L0042,"If you chose the pouch of water,","물 주머니를 골랐다면,"
S2_L0043,it means you value where you\nare going over who you are with.,누구와 가고 있는지보단 어디로 가고\n있는지를 중요시한다는 뜻이야.
S2_L0044,Interesting... so you're\nalways be thinking ahead.,흥미롭네... 항상 미래를 생각하고 있구나.
S2_L0045,"I knew it, <nickname>!","그럴 줄 알았어, <nickname>!"
S2_L0046,"You were always prepared for\nany question, any problem I had.","넌 내가 가진 어떤 질문에도,\n고민에도 답을 내놓았지."
S2_L0047,I knew I could count on you.,역시 의지할 수 있어.
S2_L0048,"But let's just say—assume,\nreally, completely theoretically.","하지만 이런 상황이면 어떨까?\n완전, 그저, 오로지 가정일 뿐이야!"
S2_L0049,You saw a pouch of water and\nme on the side of the road.,길가에 물 주머니랑 내가\n나란히 있는 걸 봤다면.
S2_L0050,Hehe.,히히.
S2_L0051,Which would you choose?,어느 쪽을 고를 거야?
S2_L0052,The pouch of water.|You.,물 주머니.|너.
S2_L0053,Well.,그래.
S2_L0054,Goodbye. For now.\nI'll be crying over there.,안녕. 나는 저 구석에서 울고 있을게.
S2_L0055,Just in case you care.,신경 안 써도 돼.
S2_L0056,I'm glad.,다행이다.
S2_L0057,It's nice to know that I mean more\nto you than a pouch of water!,내가 물 주머니보단 의미\n있는 존재라니 기뻐!
S2_L0058,I'll be quietly celebrating\nin the corner over there.,나는 이제 저 구석에서\n잠깐 동안 기뻐하고 있을게.
S2_L0059,Fascinating!,신기하다!
S2_L0060,"Now, let's look at the results.","자, 같이 결과를 보자."
S2_L0061,The first choice reveals\nyour deepest fear.,첫 번째 질문은 너의 가장\n깊은 두려움을 드러내.
S2_L0062,You chose the road with flowers.,넌 꽃이 핀 길을 골랐지.
S2_L0063,It's bright and safe. Birds are chirping\nand butterflies rest on your shoulder.,그곳은 밝고 안전해.새가 지저귀고\n나비가 네 어깨에 내려앉지.
S2_L0064,But how about the\npath lined with trees?,다만 나무들이 우거진 길은 어떨까?
S2_L0065,At first the cool shade\nmay have pleased you.,처음에는 서늘한 그늘이 만족스러웠겠지.
S2_L0066,But the looming shadows might\nswallow you before you know it!,하지만 어느새 거대해진\n그림자들이 너를 삼킬지 몰라!
S2_L0067,"You're afraid of the\ndark, aren't you?",너는 분명 어둠에 대한 두려움이 있을 거야.
S2_L0068,"Afraid of the unknown, of what might\nleap out at you from who knows where!","어둡고 비밀스러운 것, 어디에서 무엇이\n튀어나올지 모르는 미지의 공포를 마주하는 것!"
S2_L0069,Think back to your very first\nnightmare when you were little.,어릴 때 꾸었던 최초의 악몽을 기억해 봐!
S2_L0070,"You were on a mountain\nroad past midnight,",분명 자정 넘어 산길을 걷다...
S2_L0071,and a vicious beast tore you\nto shreds with its teeth!,서슬 퍼런 짐승의 어금니에 붙잡혀\n뜯겨 나가던 꿈이었을 거야!
S2_L0072,"Then, the second choice.",두 번째 질문으로 넘어갈게.
S2_L0073,It was about who you are when\nfaced with an unsure future.,불확실한 미래를 앞두고 어떻게\n행동하는지에 대한 질문이었어.
S2_L0074,"If you chose the dog,","강아지를 골랐다면,"
S2_L0075,it means you value who you are\nwith over where you are going.,어디로 가고 있는지보단 누구와\n함께하는지를 중요시한다는 뜻이야.
S2_L0076,Who you are with...,누구와 함께하는지...
S2_L0077,Do I count?,거기에 나도 해당돼?
S2_L0078,Of course.|Well....,물론이지.|글쎄....
S2_L0079,Really? You mean it?\nI won't forget this moment!,정말? 정말? 이 순간을 잊지 않을래!
S2_L0080,I'll be quietly celebrating\nin the corner over there.,나는 이제 저 구석에서\n잠깐 동안 기뻐하고 있을게.
S2_L0081,Goodbye. For now.\nI'll be crying over there.,안녕. 나는 저 구석에서 울고 있을게.
S2_L0082,Just in case you care.,신경 안 써도 돼.
S2_L0083,It seems full of potential\nfor a distinct adventure.,색다른 모험의 가능성이 보여.
S2_L0084,"Hm, Interesting!",으음. 흥미로워!
S2_L0085,Okay.,좋아.
S2_L0086,"Then, as you are walking\nyour chosen path,","그렇게 선택한 길을 따라 걷고 있던 너는,"
S2_L0087,you see a pouch of water and\na dog on the side of the road.,길가에 물 주머니와 강아지\n한 마리가 있는 걸 봤어.
S2_L0088,A note beside it says:,그 옆에 있는 종이엔 이렇게 적혀있지.
