Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
SD6_L0001,Someone will speak first.,누구 하나가 먼저 말을 걸 거야.
SD6_L0002,"“Earth has such a sunset, right?","""지구의 노을, 참 좋지?"""
SD6_L0003,"“Yes, yes, yes. Sunsets remind me of…”","""응, 응, 응. 노을은 있잖아."""
SD6_L0004,“… a beauty found in what shines briefly.”,"""짧게 빛나는 것들의 아름다움을 떠올리게 해."""
SD6_L0005,"“Things that last only a moment, and should be cherished.”","""찰나로만 머무르기에, 순간을 마음껏 만끽해야 하는 것들 말이야."""
SD6_L0006,"You’ll listen to me, pondering my words,","너는 내 말을 듣고, 어떠한 표정을 짓거나 몸짓을 하며 생각한 뒤,"
SD6_L0007,before adding your own two cents.,사려 깊은 언어로 대답할 테지.
SD6_L0008,“Beauty in what shines briefly.”,"""짧게 빛나는 것들의 아름다움."""
SD6_L0009,"“A musician in their element, a child sprinting, lovers’ eyes meeting… and so on.”","""음악가의 몰입, 아이의 뜀박질, 사랑하는 이와의 눈맞춤…. 그런 것들이 떠올라."""
SD6_L0010,We are in the same place at the same time watching the same thing.,우린 같은 곳에서 같은 시간을 보내며 같은 곳을 바라보고 있지.
SD6_L0011,"But can it truly be the same? The sunset’s blush, how it captures my heart and echoes in yours?","하지만 그 노을의 붉음이 내 마음을 사로잡는 감각과 너의 마음을 울리는 감각이, 정말 같을까?"
SD6_L0012,"I long to know. What it is behind your face, your words.","난 너무 궁금해. 너의 표정 속에, 너의 말 뒤에."
SD6_L0013,What lies beneath the skin and wavers.,네 존재의 ‘겉표지’ 너머에 존재할 너만의 내적인 일렁임.
SD6_L0014,Glimmers.,반짝임.
SD6_L0015,Aches.,쓰라림.
SD6_L0016,Fluid feelings floating freely.,수많은 감정들의 유체가 자유로이 표류하는 감각.
SD6_L0017,If I could reach it… you and I could be one complete <i>us</i>.,그것을 알 수만 있다면… 너와 나는 온전한 ‘우리’가 될 수 있을 텐데.
SD6_L0018,I want to see it for myself!,너의 속마음을 직접 보고 싶어!
SD6_L0019,But I’ll never really know. Any of it.,그런데 난 알 수 없을 거야. 그 무엇도.
SD6_L0020,"Because I can only ever be me,","나는 고작 나일 수밖에 없으며,"
SD6_L0021,and never you. Not ever.,결코 네가 될 수 없으니까.
