Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
SD7_L0001,Today I saw a man that finds a silver lining in every stormy cloud.,오늘은 어떠한 불운이 닥쳐도 티끌 같은 빛을 찾아내는 인간을 봤어.
SD7_L0002,"“Our first caller says they were on their way to a job interview, and had mud splashed all over them.”","""오늘의 사연입니다. 면접을 보러 가는데, 옷에 흙탕물이 튀어서 너무 속상했어요."""
SD7_L0003,"“My mind went blank and I screwed up the interview, he says.”","""머리가 새하얘진 나머지 열심히 준비했던 면접도 망쳐 버렸어요."""
SD7_L0004,“Oh man… hard luck. But why don’t we look at the bright side?”,“저런... 마음이 아프시겠어요. 하지만 좋은 경험이었다고 생각해 보는 건 어떨까요?”
SD7_L0005,"“I got mud on my clothes today too, but the stain looks like a butterfly.”","“저도 오늘 소중한 옷에 흙탕물이 튀었는데, 덕분에 귀여운 나비 무늬가 생겼답니다.”"
SD7_L0006,"“Try to see the world positively, and slap a bright smile over that long face.”","“세상을 긍정적으로 바라보면서, 슬픔은 더 멋진 웃음으로 덮어 보아요.”"
SD7_L0007,He was a radio host of a small broadcast station.,그 사람은 작은 방송국의 라디오 진행자였지.
SD7_L0008,"At least until they changed the host to a younger, more dashing human.",그 방송국이 더 젊고 반짝거리는 인간으로 진행자를 바꾸기 전에는 말이야.
SD7_L0009,"He still laughed it off. Bright smile over long face, remember?",그래도 그는 늘 그렇듯 웃었어. 슬픔을 더 멋진 웃음으로 덮어 낸 거야.
SD7_L0010,"Before ‘the incident’, he had his first big fight with his girlfriend.","그에게 ‘그 일’이 일어나기 전, 그는 사랑하는 여자친구와 처음으로 크게 다퉜어."
SD7_L0011,“Alright. It’s fine! We’ll be stronger then ever before.”,"""그래, 괜찮아. 괜찮아! 우리는 앞으로 더 단단해질 거야!"""
SD7_L0012,”Our first fight helped us connect emotionally…”,"""첫 싸움으로 강렬한 감정 교류를 나눴으니…"""
SD7_L0013,“I’ll ask her to a splendid dinner to commemorate this day.”,“오늘은 기념해 그녀와 멋진 저녁 식사를 하자고 제안해야겠어!”
SD7_L0014,And when ‘the incident’ happened…,그리고 마침내 ‘그 일’이 일어났을 때…
SD7_L0015,He… well…,그는… 그는 말이지…
