Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
S8_L0001,I handed you a knife.,난 네게 칼자루를 들려줬어.
S8_L0002,"A knife with a sharpened blade,\nmore than ready for blood.",잔인하리만치 퍼렇게 날이\n서 있는 칼의 칼자루를.
S8_L0003,Your every move will\ncut into my body.,너의 휘두르는 몸짓은 낱낱이\n나의 생채기가 되겠지.
S8_L0004,A knife?,칼이라니?
S8_L0005,You’ve never handed me a knife.|There’s no way I’d hurt you.,뭉치가 칼을 준 적은 없을걸?|내가 널 다치게 할 리 없잖아.
S8_L0006,The knife can’t be seen and has\nmany names—and you do have it.,"그 칼은 보이지 않는데다 이름도\n여러 개지만, 넌 이미 갖고 있어."
S8_L0007,Are you sure?,확신할 수 있겠어?
S8_L0008,"You see, humans call it affection.",인간들은 대개 그 칼을\n애정이라고 부르거든.
S8_L0009,Ah. Hm.,"아, 으음."
S8_L0010,So you’re saying... that the affection\nyou gave me is like a knife?,그러니까 뭉치 네 말은... 네가\n내게 준 애정이 칼과 같다는 거야?
S8_L0011,And that I’ll cut you with it?,그래서 널 상처 입힐 거라고?
S8_L0012,Yes.,그래.
S8_L0013,I’ve had similar thoughts.|What led you to think this?,나도 비슷한 생각을 해 본 적 있어.|왜 그런 생각을 하게 됐어?
S8_L0014,"I’ve realized wounds caused by those you\nfeel affection for hurts twice, thrice as much.",소중하게 생각하는 대상에게 받는\n상처가 배로 아프다는 걸 느꼈거든.
S8_L0015,Yes. So much so that it feels\nimpossible to come back from.,응. 어쩌면 회복 불가능할 정도로.
S8_L0016,To feel affection for someone is to\nbe defenseless in their presence.,"애정을 갖는다는 건, 그 앞에서만은\n무방비해질 수 있다는 거야."
S8_L0017,"It’s a resolve to let down my guard,","내가 가진 방패를 내려 놓고,"
S8_L0018,and expose my delicate underbelly.,연약한 부분을 뒤집어 보여 줄 수 있다는 각오지.
S8_L0019,It’s also like handing someone\nthe most powerful of weapons.,반대로 상대에게 가장 강력한 무기를 쥐어 주는 것과 같아.
S8_L0020,So I... I...,그래서 난... 나는...
S8_L0021,Are you afraid?|Do you regret it?,두려워?|후회해?
S8_L0022,Yes. I am afraid.,맞아. 두려워.
S8_L0023,It’s not regret. But... I’m afraid.,후회와는 달라. 하지만... 두려워.
S8_L0024,"All of a sudden, I’m afraid.\nTo feel affection.",문득 두려워졌어.\n애정의 마음을 갖는 일이.
S8_L0025,"<nickname>, ever thought about running\ninto the terrifyingly beautiful sea?","<nickname>, 두려울 만큼 아름다운\n바다에 뛰어들고 싶었던 적이 있어?"
S8_L0026,"Yeah, I have.|No, I haven't.","응, 있어.|아니, 없어."
S8_L0027,Despite knowing the waves\nwill swallow you whole?,파도가 너를 집어 삼킬 걸 알면서도?
S8_L0028,"Sometimes, yes.",가끔은 그래.
S8_L0029,... I guess we all want to jump into\nthe dazzling abyss from time to time.,... 누구나 종종 눈부신 심연\n속에 뛰어들기를 원하지.
S8_L0030,Into something that will\nembrace us fiercely.,나를 끈적하게 휘감을 무언가.
S8_L0031,"Embrace us, only to shatter us\ninto a thousand specks of sand.","마주 안고, 끝내 모래알처럼\n흩어지게 할 무언가에 말이야."
S8_L0032,Do you think the sea would\ntake me... Even as I am?,이렇게 작고 새까만 나도\n바다에 안길 수 있을까?
