Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
M11_L0001,You’re here!,드디어 왔구나!
M11_L0002,"You look like you’re\nin a good mood, Dot.","뭉치, 오늘 기분 좋아 보이네."
M11_L0003,Anything special happen?,무슨 일 있었어?
M11_L0004,"Listen, <nickname>.","들어 봐, <nickname>."
M11_L0005,Did you know there are dreams\nthat don’t disappear?,사라지지 않는 꿈이 존재한다는 거 알아?
M11_L0006,Dreams that don’t disappear?,사라지지 않는 꿈?
M11_L0007,What do you mean?,그게 무슨 말이야?
M11_L0008,She was really living on in her dream.,그녀는 정말로 꿈 속에서 살아가고 있었어.
M11_L0009,Dream-smelling and dream-caressing\nalongside her dream-people.,"꿈의 냄새를 맡고, 꿈의 표면을\n만지면서, 꿈속 사람들과 함께."
M11_L0010,Her dream forever waits\nfor her in the same spot.,그녀의 꿈은 영원히 한 자리에서\n그녀를 기다리고 있지.
M11_L0011,"It became infinite, continuing\nlong after the night ends.",밤이 지나도 잊히지 않는 무한한 꿈이 된 거야!
M11_L0012,"Oh, I discovered what humans call\nthis kind of dream in an encyclopedia.","아, 사전을 찾아서 인간들이 그런\n꿈을 뭐라고 부르는지 알게 됐어."
M11_L0013,‘Lucid dream.’,‘루시드 드림’... 또는 ‘자각몽’.
M11_L0014,Never heard of it.|Sounds familiar.,처음 들어 봐.|몇 번 들어 봤어.
M11_L0015,Living on within a dream... It’s hard to believe.,꿈속에서 살아갈 수 있다니... 믿기 힘드네.
M11_L0016,"<nickname>, I have a favor to ask.","<nickname>, 부탁하고 싶은 게 있어."
M11_L0017,"How about picking up ‘lucid dreaming,’\nlike the human I mentioned?","내가 말한 인간처럼, <nickname>도 ‘자각몽’을\n연습해 보는 거 어때?"
M11_L0018,"If you recognize me even after I become a\ndream, and stay inside me, I won’t disappear.","네가 꿈이 된 나를 알아보고 계속 내 안에\n머무른다면, 나는 사라지지 않을 거야."
M11_L0019,...,...
M11_L0020,"I’ll try my best, too. Magnificent food, a cozy\nhome, and delightful humans just for you!","나도 노력할게. 황홀하게 맛있는 음식,\n편안한 집, 친절한 인간들을 만들어 줄게!"
M11_L0021,You’ll be happy inside me...\nforever and ever.,네가 내 안에서 영원히 행복할 수 있도록.
M11_L0022,"I want to stay with you for\nas long as I can, too.",나도 너와 오래 함께하고 싶어.
M11_L0023,But...,하지만...
M11_L0024,I don’t think that’s a good idea.|It’s not possible.,내겐 현실에 존재하는 것들도 소중해.|불행해질 현실을 감당할 자신이 없어.
M11_L0025,...Why?,"친구들, 가족들, 나의 꿈을 위해\n달려온 시간들. 그리고 내 자신까지."
M11_L0026,My life matters to me too.,아무리 꿈속 세상에 비해 보잘것없어\n보일지라도... 나의 현실인 걸.
M11_L0027,...Why?,꿈이 아닌 현실이기에\n더욱 소중한 법이라고 생각해.
M11_L0028,Reality matters to me too.,꿈에서 깨어나는 순간마다 점점\n더 보잘것없어지는 현실을 보며
M11_L0029,"If I were to live within a dream, I’d have\nto leave behind so much in the real world.",나는 점점 무너질 거야. 감당할 자신이\n없어서 더욱 꿈에 매달리겠지.
