Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
S4_L0001,The Moon’s gravity\nis stronger than one would think.,달의 중력은 상상보다 크다.
S4_L0002,"When its pull affects Earth, this\ncauses the sea to rise towards it.","달의 중력이 지구에 미쳐, 바닷물을\n세게 끌어당기며 생기는 현상을..."
S4_L0003,This phenomenon is\ncalled the spring tide.,‘조석’이라고 하는데.
S4_L0004,"What are you up to, Dot?","뭉치, 뭐 하는 중이었어?"
S4_L0005,Oh.,앗.
S4_L0006,...!,...!
S4_L0007,"<nickname>, you’re here.","<nickname>, 왔구나."
S4_L0008,"I was reading. Watched a documentary,\nand read a few more books before that.",독서하던 중이었어. 오늘 달에 관한\n책 열 권과 다큐멘터리 하나를 봤어.
S4_L0009,"You know, <nickname>.","있잖아, <nickname>"
S4_L0010,"To move someone, to become the\ndriving force behind a push or a pull.","누군가를 움직인다는 거, 어떠한\n울림과 흐름의 동력이 된다는 건 말이야-"
S4_L0011,How breathtaking it must be.,그건 얼마나 벅차오르는 일일까.
S4_L0012,Do you know the feeling? Have you\never moved someone deep within?,너도 그 벅참을 알아?\n타인의 마음을 움직여 본 적 있어?
S4_L0013,"Yes, I have.|No, not yet.","응, 있어.|아니, 아직은."
S4_L0014,How?,어떻게?
S4_L0015,I used my experience to help others.|I held someone in a warm embrace.,나의 경험으로 누군가를 도와주었어.|누군가를 따스하게 안아 줬었어.
S4_L0016,Acting as someone’s guiding light\nfelt quite rewarding.,타인의 길에 작은 등불이 될 수 있단\n사실이 꽤나 보람찼던 것 같아.
S4_L0017,Acting as someone’s small bonfire...\nended up helping me as well.,타인의 마음을 모닥불처럼 데워 줬던 시간은...\n돌고 돌아 나에게도 큰 힘이 되었어.
S4_L0018,But someday...,하지만 언젠가는...
S4_L0019,I want to use my experience to help others.|I want to hold someone in a warm embrace.,나의 경험으로 누군가를 도와주고 싶어.|누군가를 따스하게 안아 주고 싶어.
S4_L0020,Acting as someone’s guiding light\nmust feel quite rewarding.,타인의 길에 작은 등불이 될 수 있단\n사실은 꽤나 보람찰 것만 같거든.
S4_L0021,"Warm them up like a bonfire,\nand make them happy.","아늑한 모닥불처럼 누군가를 데우고,\n행복할 수 있게 하기를 바라."
S4_L0022,"But what’s all this about, Dot?","그런데 뭉치, 이건 갑자기 왜?"
S4_L0023,"Oh, oh, well.","아, 아, 음."
S4_L0024,"See, the Moon is moved\nby the Earth.","있지, 달의 동력은 지구야."
S4_L0025,"The gravity of the Earth,\nits blue-green beauty.","지구의 중력, 지구의 푸르름."
S4_L0026,The uncontrollable fondness you feel\ntowards those you can’t help but love.,어쩔 수 없이 사랑할 수밖에 없게 되는\n속성들을 향한 속절없는 애정.
S4_L0027,You make the Moon\nsound like a true romantic.,달의 공전을 이렇게 이야기하니까...\n꽤나 낭만적인 순애보 같네.
S4_L0028,Humans call it ’one-sided love.’,인간들은 그걸 짝사랑이라고 불러.
S4_L0029,"One, sided?","짝, 사랑?"
S4_L0030,Yes. When you pine for someone\nwho won’t return your feelings.,"응, 혼자 애타 하며 따라다니는 거."
