Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
SD12_L0001,I was standing on the edge of a cliff.,나는 벼랑 끝에 서 있었어.
SD12_L0002,Beyond was the colossal predator. A silent and fathomless mouth.,너머에는 거대한 포식자. 고요하고 시커먼 목구멍.
SD12_L0003,Death.,죽음.
SD12_L0004,I dared to try and make sense of the endless drop. ,나는 그 끝없는 낙차를 감히 이해해 보려고 했어.
SD12_L0005,"To grasp it in the palm of my hand, and lend an ear to its lonely whispers,","그것을 손에 쥐고 더듬어 보려, 그의 외로운 속삭임에 귀 기울여 보려 했어."
SD12_L0006,"I thought then I could accept… my fate, and being eaten by it.",그러면 그에게 먹히게 될 나의 미래를… 가까스로 받아들일 수 있을 것만 같았어.
SD12_L0007,But the abyss denied a wandering eye.,"하지만 심연은 엿보는 것을 허락하지 않았고,"
SD12_L0008,"And… I tripped. Or did I, blinded by despair, choose to fall?",나는… 발을 헛디뎠던가. 절망에 눈이 멀어 떨어져 내리길 자처했던가?
SD12_L0009,I just can’t remember.,도통 기억이 나질 않아.
SD12_L0010,Everything was d a r k.,깜 깜 해 졌 어.
SD12_L0011,"The Dark. Where everything is the same, eyes closed or open.",그곳은 수렁 같은 암흑. 눈을 떠도 감아도 똑같은 것이 보이는.
SD12_L0012, Where things much more sorrowful and packed lurk.,죽음보다 훨씬 서럽고 빽빽한 것들이 도사리는.
SD12_L0013,Where there is n o t h i n g. And thus e v e r y t h i n g.,아 무것 도 없는. 그렇기에 모 든 것 이 있는.
SD12_L0014,And fog. The nameless fog.,그리고 안개. 이름 없는 안개.
SD12_L0015,Things approached and began to s w e l l.,그것들이 찾아와 거 대 하게 불어나기 시작했어.
SD12_L0016,Screams unheard. Sobs. Sorrows. Wrongs.,묵음 처리된 비명들. 울음. 설움. 억울함.
SD12_L0017,"Things born in the Dark, resembling the chilling nature of the Dark.","암흑에서 태어나, 암흑의 섬뜩한 감각을 닮아 있는"
SD12_L0018,Questions. Questions. Questions. Questions.,질문들. 질문들. 질문들. 질문들.
SD12_L0019,Why are dreams not dreams?,‘왜 꿈은 꿈이 아닌 거야?’
SD12_L0020,Why bodiless and colorless?,‘몸과 색이 없는 거야?’
SD12_L0021,Are colors nothing but lies?,"‘모오든 색채는 허상이었고,’"
SD12_L0022,And the world a cruel bystander?,‘세계는 잔혹한 방관자일 뿐이었던 거야?’
SD12_L0023,Then what am I?,‘그렇다면 나는 뭐지?
SD12_L0024,What am I?,"‘나는 무엇밖에 못 되며,’"
SD12_L0025,What can I be?,‘무엇까지 될 수 있지?’
SD12_L0026,"If nothing,",‘아무것도 될 수 없었다면.’
SD12_L0027,Am I just a carcass-to-be?,‘나 역시 예비-사체였던 거야?’
