Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
M4_L0001,"Hello, <nickname>...","안녕, <nickname>..."
M4_L0002,(Calmly question.)|(Gently worry.),(차분하게 물어본다)|(다정하게 걱정한다.)
M4_L0003,"Dot, did you go out today?","뭉치, 오늘은 안 나갔어?"
M4_L0004,I couldn’t.,못 나갔어.
M4_L0005,"Despite my will, I failed.\nUtterly and wholly.","난 나의 의지와는 무관하게,\n명백히, 온전히 실패했어."
M4_L0006,"So according to the language\nsystem, I ‘couldn’t’ go out.",인간들의 언어 체계에 따르면\n나는 밖으로 나가지 ‘못’ 한 거야.
M4_L0007,"Your eyes are missing, Dot...\nIs something wrong?","뭉치, 눈이 왜 사라져\n있을까... 무슨 일 있어?"
M4_L0008,Wrong? Nothing so dramatic\nas to be called ‘wrong’.,무슨 일이 있다? ‘무슨 일’이라\n불릴 만큼 대단한 일은 없어.
M4_L0009,But ‘something’ is always happening.,그러나 동시에 ‘어떠한 일’은\n항상 일어나고 있지.
M4_L0010,It’s a saying.,걱정의 표현이야.
M4_L0011,People ask whether something’s\nwrong when they’re worried.,인간들은 걱정이 될 때면 종종\n‘무슨 일이 있냐’라고 물어보거든.
M4_L0012,I see... ‘worried’ is\na warm and loving state.,그렇구나... ‘걱정’은 따뜻하고 애정 어린 것.
M4_L0013,"Thank you, <nickname>.\nIt’s a small comfort.","고마워, <nickname>. 미약하게나마 위안이 돼."
M4_L0014,"Dot, you’re worrying me. Is something\nheavy and unpleasant bothering you?","뭉치야, 정말 걱정돼. 무겁고\n못된 고민이 있는 거야?"
M4_L0015,......,......
M4_L0016,"Well, it’s...","음, 으음..."
M4_L0017,"It’s heavy alright. But not unpleasant.\nRather, I’m nursing over kind things.",무거운 것은 맞지. 그러나 못된 고민은 아니야.\n오히려 다정한 것들에 대한 고민이지.
M4_L0018,Heavy but kind. And so it’s hard\nto simply soothe them away...,무겁지만 다정한. 그렇기에 마음\n놓고 어루만질 수 없는...
M4_L0019,That’s what ties me to this corner.,그게 날 이 모퉁이에 묶어 두고 있어.
M4_L0020,Why did the three\nMoon Beings save me?,달의 이들은 날 왜 살린 걸까?
M4_L0021,"<nickname>, I can’t comprehend it.\nI can’t even begin to guess.","<nickname>, 아무리 고민해도 이해할\n수가 없어. 짐작도 가지를 않아."
M4_L0022,Why did they give me warmth and life?\nWhy send me to this beautiful planet?,왜 나에게 따스한 온기와 생명의 기회를 준 걸까?\n왜 나를 이 아름답고 푸르른 행성으로 보낸 걸까?
M4_L0023,"I was nothing but a blob of\nfilth, grimy and meaningless...",난 분명 불결하고 무가치한\n오물 덩어리였을 뿐인데...
M4_L0024,From what you’ve said... I guess your\nlast words struck something in them.,뭉치의 이야기를 들어 보면... 다들 너의\n마지막 말을 듣고 놀란 눈치였던 것 같아.
M4_L0025,“Maybe someone out there wants\nme as a dream of their own.”,“저 밖엔 나를 꿈으로 삼아 줄\n다른 존재가 있을지도 몰라요.”
