Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
S11_L0001,"And then he went like this, didn’t he?","그는 이렇게 했었지, 아마?"
S11_L0002,Put his head.,벽에.
S11_L0003,Against the wall.,머리를 대고.
S11_L0004,Thump. Thump. Thump.,퍽. 퍽. 퍽.
S11_L0005,(What’s that splating sound?\nI keep hearing it.),(이 철퍽거리는 소리는 뭐지? 반복적으로...)
S11_L0006,Oh.,아.
S11_L0007,……,…...
S11_L0008,……,…...
S11_L0009,I’m feeling dizzy.,어지러워.
S11_L0010,I need a hole to throw up in.,토할 구멍이 필요해.
S11_L0011,But faint abandonment creeps in.,그치만 미약한 해방감이 기어들고.
S11_L0012,Head against the wall…,벽에 머리를 대며…
S11_L0013,like this.,그는 이렇게.
S11_L0014,Red? I don’t have the faintest idea\nwhat to do. Not a single clue. Not one.,레드? 정말 어쩌면 좋을지 하나도\n모르겠어. 하나도. 하나도.
S11_L0015,That which explodes like a flare.\nHas been spilt. Smashed and crushed.,섬광탄처럼 터지는 것. 엎질러진\n것. 박살이 나 우그러진 것.
S11_L0016,I’m feeling dizzy.,어지러워.
S11_L0017,Did your human feel this way too?,레드의 인간도 이랬었던 거야?
S11_L0018,Did he throw himself out of the way of the\nswelling clock needle but end up impaled on it?,비대해지는 시계 바늘을 피하기 위해 몸을\n던졌지만 도리어 쿡 찢어지고 말았던 걸까?
S11_L0019,It hurts. And yet how strange.,아파. 그런데 이상해.
S11_L0020,Why do I find comfort in pain?,나는 왜 고통에서 안락을 찾은 거지?
S11_L0021,Why must I be like this?,나는 왜 이래야만 하는 거지?
S11_L0022,…,...
S11_L0023,Why?,왜?
S11_L0024,"The thing about letters is, it’s good\nto have someone close by read them.",편지란 건 말이야. 가까이에 읽어 줄\n이가 있으면 좋다고 생각해.
S11_L0025,How very foolish of me to think of you\nonly now—you visit me every day.,왜 이제야 떠올린 걸까?\n매일 내 창가에 들르는 너를.
S11_L0026,I’m writing this letter\nwhile staring up at you.,지금 널 보며 편지를 쓰고 있어.
S11_L0027,"Where I began, perhaps where\nI’ll never revisit... My Moon.","나의 시초지이자, 어쩌면 이제\n영영 돌아가지 못할... 나의 달."
S11_L0028,You seem unusually pale tonight.,오늘 밤의 너는 유독\n희게 질린 것 같아.
S11_L0029,I wonder if the surrounding darkness\nis finally creeping into your light.,테두리를 둘러싼 어둠이 기어이\n네게 침범하려 하는 걸까.
S11_L0030,<nickname> says that Earth is\nquite a distance away from you.,"내 인간 친구가 말해 주길, 지구는\n너와 꽤 멀리 떨어져 있대."
S11_L0031,"Apparently, light from here takes\none-point-three seconds to get to you.",이곳의 빛이 네게 출발해도\n일 점 삼 초가 걸린다고 했어.
S11_L0032,One. point. three. seconds!,일 점 삼 초라니!
S11_L0033,"Four thousand stars would be born and\nthirty more would implode, with time to spare.","사천 개의 새 별이 탄생하고, 삼십 개의\n별이 폭발하고도 남는 시간이지."
S11_L0034,"Still, no need to be too sad.",그렇지만 너무 슬퍼하지 마.
S11_L0035,"Once I’m no longer a dream, once\nI become a light-like substance,","내가 꿈을 지나고, 빛과\n비슷한 속성의 존재가 되면..."
S11_L0036,I’ll be with you faster\nthan the speed of light.,빛보다 빠르게 너의 곁에 닿을게.
S11_L0037,So you won’t be lonely up there.,홀로 뜬 네가 외롭지 않도록.
S11_L0038,Til we meet again.,그렇게 다시 만나는 거야.
S11_L0039,"Oh, <nickname>. Will you look at\nthis baby bird atop my head?","오, <nickname>. 내 정수리를 밟고\n서 있는 아기새를 봐 줄 수 있어?"
S11_L0040,"See, what happened was......","그게, 그게 말이지......"
S11_L0041,The clouds were\ndrifting idly away.,구름이 권태롭게 뒷짐을 지고 흘러가고 있었어.
S11_L0042,"I followed the treacherous route up the cliff\nfor a closer look, nearly losing an arm!","난 깎아지르는 벼랑을 등반해,\n기필코 그에 닿아 보리라 결심했지!"
S11_L0043,"So... you made it up on the\nwindowsill to look at the sky, <nickname>?","어... 그러니까 창문 위에 어렵게\n올라가서 하늘을 봤다고, 뭉치야?"
S11_L0044,......,...... 
S11_L0045,Eh... That’s one way to put it.,그렇다고 볼 수 있지.
S11_L0046,"And then this bird landed on me,\nlike she had been expecting me.",이 새는 기다렸다는 것처럼 나에게 내려앉았어.
S11_L0047,"It happened when the shadow of\nthat desk covered the floor in half,","그게 저 책상의 그림자가 방바닥을\n반틈 가리고 있을 때의 일인데,"
S11_L0048,and now darkness has set\nand she still hasn’t budged.,완전히 어둠이 내려앉은\n지금도 떠나질 못하고 있어.
S11_L0049,"It pains me to say it, but...","침울하게 추측해 보건대, 이 새는..."
S11_L0050,"I think this bird is trapped in my clingy\nswamp of a body, robbed of the blue sky.","푸늘 하늘의 자유를 포획당한 채, 내 끈끈한\n늪 같은 몸뚱이에 붙잡혀 버린 게 아닐까."
S11_L0051,"Death is coming for her, inch by inch. And it\nwill start with her legs twisting and rotting.","앞닥칠 죽음을 기다리며. 천천히, 천천히,\n다리부터 뒤틀리다 썩어 가지 않을까."
S11_L0052,"But <nickname>, she doesn’t deserve this\nkind of pain. It will be a bleak tragedy.","그치만, <nickname>, 그건 이 아이가 겪어선\n안 될 고통이야. 시커먼 비극이야."
S11_L0053,"Please, <nickname>.\nYou have to save her!","부탁이야, <nickname> 이 새를 구해 줘!"
S11_L0054,But are we sure she’s trapped?’,그렇다면 큰일이긴 한데... 정말 그럴까?’
S11_L0055,"But doesn’t her chirping sound joyful, <nickname>?","그런 것치곤 맑은 소리로\n지저귀지 않아, 뭉치야?"
S11_L0056,"No. This is her neck-deep in the filthy\nmud, barely breathing through her beak,","아니, 얘는 나의 진흙탕 속에 가라앉으며\n손바닥 하나만 겨우 내밀고 있어."
S11_L0057,"frantically crying out for help. Begging\nme to please, please let her go.","간절히 도움을 청하고 있는\n거야. 제발, 제발 놓아 달라고."
S11_L0058,But it can’t be.\nThis bird is singing.,그렇지 않아. 이 새는 노래해!
S11_L0059,...... with her beak\ntwitching in delight!,...... 부리를 쫑긋거리면서 말야!
S11_L0060,......,......
S11_L0061,"Is that really true, <nickname>?","그게 정말이야, <nickname>?"
S11_L0062,...... Really? Really?,...... 정말? 정말?
S11_L0063,"Yes, trust me.","응, 정말이야."
S11_L0064,What a mistake! I couldn’t\nsee myself in the window.,오해했어! 유리창에는 내\n모습이 비치지 않는단 말야.
S11_L0065,"Well, her feet do seem\nto be sinking bit by bit,","뭐, 뭉치 말대로 발이 조금씩\n빠지는 것 같긴 하지만,"
S11_L0066,but it looks like she’s flapping\nher wings and having fun.,날갯짓하며 놀고 있는 걸로\n보여. 즐겁다는 몸짓이야.
S11_L0067,Well... Well!,음... ... 음!
S11_L0068,So she was singing for me?,그러니까 이게 원래는 나를\n위한 음악이었단 말이지?
S11_L0069,...,...
S11_L0070,How beautiful.,아름다워.
S11_L0071,A voice like the finest of\nfeathers woven together.,깃털로 빚은 소리가 있다면 이런 느낌일까.
S11_L0072,Baby bird! It turns out\nI’m safe enough for you.,아기 새야! 내가 너에겐 덜 위험한 존재였나 봐.
S11_L0073,I think this marks the start\nof a beautiful friendship.,다행이다. 아름다운 우정의 시작일 수 있겠어.
S11_L0074,"but make sure to scrub your\nfeet in the river afterwards, alright?","그래도 나중에, 꼭 강가에 가서\n발을 깨끗이 닦아 줘야 해? 알았지?"
S11_L0075,Promise me.\nPromise me you will.,"꼭, 꼭 그래야만 해."
S11_L0076,<nickname>.,<nickname>.
S11_L0077,"The saying ‘If you think\nit’s okay, it’ll be okay,’",‘괜찮다’고 생각하면 정말로\n‘괜찮아’진다는 사실 말이야.
S11_L0078,I think I’m successfully proving it.,지금 성공적으로\n실천하고 있는 것 같아.
S11_L0079,"Well, <i>I</i> think so.\nHow do I seem to you?",나는 그렇게 생각하는데\n너는 내가 어때 보여?
S11_L0080,Especially bright.|A little precarious.,유독 밝아 보여.|조금은 위태로워 보여.
S11_L0081,What?,왜?
S11_L0082,Are you sugarcoating your words?,듣기 좋으라고 하는 말이야?
S11_L0083,Why?,왜?
S11_L0084,Am I hard to look at?,이런 날 보고 있기 힘들어서 하는 말이야?
S11_L0085,It’s not that...,그게 아니라...
S11_L0086,It’s okay.,괜찮아.
S11_L0087,The world that I see with\nmy chalk-drawn eyes,나의 분필 눈으로 보는 세상은
S11_L0088,only has to paint\nmy bit of the canvas.,내 몫의 도화지만 꾸며 주면 그만.
S11_L0089,I’m glad. It really felt like\nI had a lucky coin then.,나는 기꺼워. 그땐 정말 행운의\n동전이라도 가진 기분이었어.
S11_L0090,So that’s how I feel now.,그러니까 지금도 그래.
S11_L0091,......,......
S11_L0092,I can’t take care of a traveler\nflapping her wings on my own.,날갯짓하는 나그네는 나의\n힘으로는 돌볼 수 없고
S11_L0093,"I make one-sided, indefinite\nplans to meet with the Moon.",달님과의 기약 없는 만남을\n일방적으로 약속하고
S11_L0094,"In the end, I’m a black canvas\nthat can’t be painted on.",결국 난 칠할 수 없는 검은 도화지라는 걸
S11_L0095,"And though I’m realizing this all\nover again for the eighty-seventh time,",이제 여든일곱 번째 정도\n새롭게 깨닫게 되어도
S11_L0096,It’s okay. It’ll be okay.,괜찮아. 다 괜찮아질 거야.
S11_L0097,It’s okay. It’s only temporary.,괜찮아. 다 잠깐이야.
S11_L0098,It’s okay. It’s what I wanted.,괜찮아. 다 나의 뜻대로야.
S11_L0099,That’s all.,그게 정말이야.
