Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
M7_L0001,"...! Dot, what happened?","...! 뭉치, 무슨 일 있었어?"
M7_L0002,"Don’t mind me, <nickname>. I’m putting\ninto motion what I’ve learned today.","신경 쓰지 마, <nickname>. 낮에 배운 것을\n성공적으로 실천하는 중이야."
M7_L0003,That thinking that I feel good\ncan make me feel good!,‘기분이 좋다’고 생각하면\n‘기분이 좋아’진다는 사실 말이야!
M7_L0004,"I had doubted its potential\nbefore, but it came through!","이전까지는 가능성을 의심했지만, 끝내 성공했지!"
M7_L0005,Like how the man-made\nmetallic bird can fly in the air.,인간들이 철로 만든 새가\n하늘을 나는 일이 그런 것처럼.
M7_L0006,You mean an airplane?,비행기 말이야?
M7_L0007,Well... one could call it that. But isn’t\n‘man-made metallic bird’ much cooler?,음... 그렇게도 부르지. 하지만 ‘인간들이\n철로 만든 새’라는 말이 더 멋있지 않아?
M7_L0008,Air-plane. So stiff.,"비, 행, 기. 너무 딱딱해."
M7_L0009,"But Dot, you being tangled up in dust\nreally distracts me from what you’re saying.","그런데 뭉치, 먼지 엉킨 너를 보고\n있으니까 대화에 집중이 안 돼."
M7_L0010,What exactly happened?,대체 무슨 일이 있었던 거야?
M7_L0011,...,... 그렇다면.
M7_L0012,"Now can I tell you about\nmy triumph, <nickname>?","이제 내 성공담을 들려줘도 될까, <nickname>?"
M7_L0013,"Yes. First, tell me what’s going on.","그래, 우선 무슨 일인지 이야기해 줘."
M7_L0014,"Alright! See, an enormous amount\nof dust clung to me just a while ago.",좋아! 실은 아까 내 몸에\n먼지가 엄청나게 엉겨 붙었어!
M7_L0015,And I became a black ball of fuzz!,난 온몸이 복슬복슬한 검은\n털 덩어리가 되고 말았지!
M7_L0016,"Not only did I look hideous, but I felt\nticklish, prickly, and uncomfortable.","끔찍해진 겉모습은 물론, 몸 속이 온통\n간지럽고, 까끌까끌하고, 거북했어."
M7_L0017,I thought maybe you’d\nleft the window open.,아마 네가 창문을 제대로\n닫지 않은 것 같다고 생각했어.
M7_L0018,"Oh, I’m sorry. I’ll remember\nto close it from now.","앗, 그렇구나. 미안해. 다음부터는 꼭 닫고 나갈게."
M7_L0019,"No need, <nickname>. Like I said,\nthis is a story of triumph.","그럴 필요 없어, <nickname>.\n이건 말했듯이 ‘성공담’이니까."
M7_L0020,"Anyways, that was when I recalled\nthe human I was just telling you about.","아무튼, 그때 난 방금\n소개한 인간을 떠올렸어."
M7_L0021,The human that smiles like a teddy\nbear in the face of tragedies...,어떤 무자비한 일을 겪어도\n곰 인형처럼 웃고 마는 인간을...
M7_L0022,And I attempted to imitate him. To save\nmyself from the ominous dark mire.,그리고 그를 따라해 봤어. 검은 진창 속에서\n불길해진 내 기분을 구원하기 위해서.
M7_L0023,To picture myself as\nsomething... that sways...,나를 하나의... 움직이는...
M7_L0024,sweet yet dangerous.,달콤하고 위험한... 그 무엇이라고\n스스로 생각해 본 거야.
M7_L0025,"A Venus flytrap... or rather, dust-trap?|A piece of gum with dust stuck to it?","파리, 가 아니라 먼지 지옥?|먼지를 사로잡은 풍선껌?"
M7_L0026,"Admittedly a charming plant,\nbut no. Something much kinder.","그도 아주 멋진 식물이지만,\n틀렸어. 그보다는 다정해."
