Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,EngText,KorText,NextLineKey,DeathNote,AfterScript,Exeption,LocTable,LocKey
1,21,1,1,Dot,Default,anim_reading,text,The Moon’s gravity\nis stronger than one would think.,달의 중력은 상상보다 크다.,2,,,,Sub_Ch4,S4_L0001
1,21,2,1,Dot,Default,,text,"When its pull affects Earth, this\ncauses the sea to rise towards it.","달의 중력이 지구에 미쳐, 바닷물을\n세게 끌어당기며 생기는 현상을...",3,,,,Sub_Ch4,S4_L0002
1,21,3,1,Dot,Default,,text,This phenomenon is\ncalled the spring tide.,‘조석’이라고 하는데.,4,,,,Sub_Ch4,S4_L0003
1,21,4,1,Player,Default,,text,"What are you up to, Dot?","뭉치, 뭐 하는 중이었어?",5,,,,Sub_Ch4,S4_L0004
1,21,5,1,Dot,Default,,text,Oh.,앗.,6,,,,Sub_Ch4,S4_L0005
1,21,6,1,Dot,Sub,anim_eyesblink,text,...!,...!,7,,,,Sub_Ch4,S4_L0006
1,21,7,1,Dot,Sub,,text,"<nickname>, you’re here.","<nickname>, 왔구나.",8,,,,Sub_Ch4,S4_L0007
1,21,8,1,Dot,Sub,,text,"I was reading. Watched a documentary,\nand read a few more books before that.",독서하던 중이었어. 오늘 달에 관한\n책 열 권과 다큐멘터리 하나를 봤어.,9,,,,Sub_Ch4,S4_L0008
1,21,9,1,Dot,Sub,,text,"You know, <nickname>.","있잖아, <nickname>",10,,,,Sub_Ch4,S4_L0009
1,21,10,1,Dot,Sub,anim_eyescorner_turn,text,"To move someone, to become the\ndriving force behind a push or a pull.","누군가를 움직인다는 거, 어떠한\n울림과 흐름의 동력이 된다는 건 말이야-",11,,,,Sub_Ch4,S4_L0010
1,21,11,1,Dot,Sub,anim_eyesblink,text,How breathtaking it must be.,그건 얼마나 벅차오르는 일일까.,12,,,,Sub_Ch4,S4_L0011
1,21,12,1,Dot,Default,anim_move,text,Do you know the feeling? Have you\never moved someone deep within?,너도 그 벅참을 알아?\n타인의 마음을 움직여 본 적 있어?,13,,,,Sub_Ch4,S4_L0012
1,21,13,1,Player,Sub,anim_eyesblink,selection,"Yes, I have.|No, not yet.","응, 있어.|아니, 아직은.",14|18,active|passive,,,Sub_Ch4,S4_L0013
1,21,14,1,Dot,Sub,,text,How?,어떻게?,15,,,,Sub_Ch4,S4_L0014
1,21,15,1,Player,Sub,,selection,I once guided someone.|I once comforted someone.,누군가를 이끌어 줬었어.|누군가를 따스하게 안아 줬었어.,16|17,moon|sun,,,Sub_Ch4,S4_L0015
1,21,16,1,Player,Sub,,text,"I lit someone’s path, and\nled them forward like a lantern.",누군가의 길을 등불처럼 밝히며\n이끌어 주던 때가 있었어.,22,,,,Sub_Ch4,S4_L0016
1,21,17,1,Player,Sub,,text,"I encouraged them, and\ncomforted them like a hearth.","누군가를 모닥불처럼 따스하게 데우고,\n행복하게 해 주던 때가 있었어.",22,,,,Sub_Ch4,S4_L0017
1,21,18,1,Player,Sub,,text,But someday...,하지만 언젠가는...,19,,,,Sub_Ch4,S4_L0018
1,21,19,1,Player,Sub,,selection,I want to guide someone.|I want to comfort someone.,현명함으로 누군가를 밝혀 주고 싶어.|따스함으로 누군가를 데워 주고 싶어.,20|21,moon|sun,,,Sub_Ch4,S4_L0019
1,21,20,1,Player,Sub,,text,I hope my wisdom will be the\nlantern that lights their path.,나의 현명함이 누군가의 길을\n밝히는 등불이 될 수 있기를 바라.,22,,,,Sub_Ch4,S4_L0020
1,21,21,1,Player,Sub,,text,"I hope my warmth will comfort\nsomeone, and encourage them.","나의 따스함이 누군가를 데우고,\n행복할 수 있게 하기를 바라.",22,,,,Sub_Ch4,S4_L0021
1,21,22,1,Player,Sub,,text,"But what’s all this about, Dot?","그런데 뭉치, 이건 갑자기 왜?",23,,,,Sub_Ch4,S4_L0022
1,21,23,1,Dot,Sub,,text,"Oh, oh, well.","아, 아, 음.",24,,,,Sub_Ch4,S4_L0023
1,21,24,1,Dot,Sub,,text,"See, the Moon is moved\nby the Earth.","있지, 달의 동력은 지구야.",25,,,,Sub_Ch4,S4_L0024
1,21,25,1,Dot,Sub,,text,"The gravity of the Earth,\nits blue-green beauty.","지구의 중력, 지구의 푸르름.",26,,,,Sub_Ch4,S4_L0025
1,21,26,1,Dot,Sub,,text,The uncontrollable fondness you feel\ntowards those you can’t help but love.,어쩔 수 없이 사랑할 수밖에 없게 되는\n속성들을 향한 속절없는 애정.,27,,,,Sub_Ch4,S4_L0026
1,21,27,1,Player,Sub,,text,You make the Moon\nsound like a true romantic.,달의 공전을 이렇게 이야기하니까...\n꽤나 낭만적인 순애보 같네.,28,,,,Sub_Ch4,S4_L0027
1,21,28,1,Player,Sub,,text,Humans call it ’one-sided love.’,인간들은 그걸 짝사랑이라고 불러.,29,,,,Sub_Ch4,S4_L0028
1,21,29,1,Dot,Sub,,text,"One, sided?","짝, 사랑?",30,,,,Sub_Ch4,S4_L0029
1,21,30,1,Player,Sub,,text,Yes. When you pine for someone\nwho won’t return your feelings.,"응, 혼자 애타 하며 따라다니는 거.",31,,,,Sub_Ch4,S4_L0030
1,21,31,1,Dot,Default,anim_move,text,"I see. One-sided, one-sided.\nIt has a funny ring to it.","그렇구나. 짝사랑, 짝, 사, 랑.\n발음이 재미있는 단어야!",32,,,,Sub_Ch4,S4_L0031
1,21,32,1,Dot,Sub,anim_eyesblink,text,"And, and, <nickname>, today I learned\nfrom my books and the documentary,","그런데, 그런데, <nickname>, 오늘 읽었던 책\n두 권과 다큐멘터리에서 알게 되었던 건데.",33,,,,Sub_Ch4,S4_L0032
1,21,33,1,Dot,Sub,,text,that the Moon can also move things.,달도 무언가의 동력이 될 수 있대.,34,,,,Sub_Ch4,S4_L0033
1,21,34,1,Player,Sub,,text,Like what?,어떤 것의 동력?,35,,,,Sub_Ch4,S4_L0034
1,21,35,1,Dot,Sub,,text,Like the sea! The sea is\nmoved by the Moon.,"응, 바다의 동력!\n바다의 동력이 달이래.",36,,,,Sub_Ch4,S4_L0035
1,21,36,1,Dot,Sub,,text,"The gravity of the Moon,\nits... blue-gray mist.","달의 중력, 달의... 어슴푸레함.",37,,,,Sub_Ch4,S4_L0036
1,21,37,1,Dot,Sub,anim_eyesside_turn,text,"When the Moon’s gravity affects Earth,\nand causes the sea to rise toward it...","달의 중력이 지구에 미쳐, 바닷물을\n세게 끌어당기며 생기는 현상을...",38,,,,Sub_Ch4,S4_L0037
1,21,38,1,Dot,Sub,anim_eyesside,text,It creates a spring tide.,‘조석’이라고 한대.,39,,,,Sub_Ch4,S4_L0038
1,21,39,1,Dot,Sub,anim_eyesblink,text,"And so the sea gently rises\nand falls in a gentle flow,",그것에 의해 바다에는 너른\n흐름으로 밀물과 썰물이 치고,40,,,,Sub_Ch4,S4_L0039
1,21,40,1,Dot,Sub,,text,"drawing close, swelling... then\nquietly retreating, again and again","바다는 다가갔다가, 홀로 부풀었다가,\n슬며시 멀어지기를 반복하며",41,,,,Sub_Ch4,S4_L0040
1,21,41,1,Dot,Sub,,text,and carrying the currents with it.,말없이 파도를 이는 거야.,42,,,,Sub_Ch4,S4_L0041
1,21,42,1,Dot,Sub,,text,....,......,43,,,,Sub_Ch4,S4_L0042
1,21,43,1,Dot,Sub,,text,"Does the sea love the Moon,","달이 지구를 짝사랑하듯,",44,,,,Sub_Ch4,S4_L0043
1,21,44,1,Dot,Sub,,text,the way the Moon loves the Earth?,바다는 달을 짝사랑하려나?,45,,,,Sub_Ch4,S4_L0044
1,21,45,1,Dot,Sub,,text,......,......,46,,,,Sub_Ch4,S4_L0045
1,21,46,1,Dot,Sub,,text,"To move someone, to become the driving\n force behind their push or pull—","누군가를 움직인다는 거, 어떠한 울림과\n흐름의 동력이 된다는 건 말이야-",47,,,,Sub_Ch4,S4_L0046
1,21,47,1,Dot,Sub,anim_eyesside_turn,text,How breathtaking it must be.,그건 얼마나 벅차오르는 일일까?,,,anim_reading,,Sub_Ch4,S4_L0047
2,22,48,1,Dot,Sub,anim_eyesblink,text,The Moon Beings.,"달 사람들은 말이야,",49,,,,Sub_Ch4,S4_L0048
