Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption,LocTable,LocKey
1,3,1,1,Dot,Sub,anim_eyesblink,text,"<nickname>, 이게 뭐야?","<nickname>, what’s this?",2,,,,Sub_Ch1,S1_L0001
1,3,2,1,Dot,Sub,,text,빵 위에 피어난 거뭇거뭇한 거.,This black smudge on\nthe piece of bread.,3,,,,Sub_Ch1,S1_L0002
1,3,3,1,Player,Default,anim_eyescorner,selection,"으악, 곰팡이다!|저런, 곰팡이네.","Gah, mold!|Huh. Mold.",4|4,sun|moon,,,Sub_Ch1,S1_L0003
1,3,4,1,Player,Default,,text,먹다 만 빵이 있었다는 걸\n까먹었어... 버려야겠다.,I forgot I had some left-over\nbread. I’d better throw it away.,5,,,,Sub_Ch1,S1_L0004
1,3,5,1,Dot,Sub,anim_eyesblink,text,‘곰팡이’가 뭐야? 네가\n이걸 싫어하는 게 느껴져.,What’s “mold”? I get the sense\nit’s something you don’t like.,6,,,,Sub_Ch1,S1_L0005
1,3,6,1,Player,Sub,,text,"곰팡이는 습하거나 어두운 곳, 상하거나\n썩은 음식 등에서 피어나는 생물이야.","It’s what grows in damp or\ndark places. Or on spoiled, rotten food.",7,,,,Sub_Ch1,S1_L0006
1,3,7,1,Player,Sub,,text,"으, 미안해.",Sorry about that.,8,,,,Sub_Ch1,S1_L0007
1,3,8,1,Player,Sub,,text,지구에 온 첫날부터\n이런 걸 보게 하다니.,I hope it doesn’t give you the wrong idea\nabout Earth on your first day here.,9,,,,Sub_Ch1,S1_L0008
1,3,9,1,Player,Sub,,text,얼른 치워야겠다. 그럼\n책상이 훨씬 깨끗해질 거야!,I’ll get rid of it. That’ll make\nthe desk much cleaner!,10,,,,Sub_Ch1,S1_L0009
1,3,10,1,Dot,Default,anim_eyesdown_turn,text,습하거나 어두운 곳...,Damp or dark places...,11,,,,Sub_Ch1,S1_L0010
1,3,11,1,Dot,Default,anim_eyescorner,text,상하거나 썩은 음식?,"Spoiled, rotten food?",12,,,,Sub_Ch1,S1_L0011
1,3,12,1,Dot,Default,anim_eyesclosed,text,아. 아...,Oh. Oh...,13,,,,Sub_Ch1,S1_L0012
1,3,13,1,Dot,Default,,text,......,......,14,,,,Sub_Ch1,S1_L0013
1,3,14,1,Dot,Sub,anim_eyesblink,text,"<nickname>, 잠시만.","<nickname>, wait.",15,,,,Sub_Ch1,S1_L0014
1,3,15,1,Dot,Sub,,text,잠시만. 치우지 말아 줘.,Wait. Don’t get rid of it.,16,,,,Sub_Ch1,S1_L0015
1,3,16,1,Dot,Sub,,text,"나, 얘와 시간을 보내 보고 싶어.",I’d like to spend time with it.,17,,,,Sub_Ch1,S1_L0016
1,3,17,1,Dot,Sub,,text,......,......,18,,,,Sub_Ch1,S1_L0017
1,3,18,1,Dot,Sub,,text,그래도 될까?,May I?,19,,,,Sub_Ch1,S1_L0018
1,3,19,1,Player,Sub,,text,응? 왜? 더럽고 징그럽지 않아?,But why? Isn’t it dirty and gross?,20,,,,Sub_Ch1,S1_L0019
1,3,20,1,Dot,Sub,,text,"부탁이야, <nickname>.","Please, <nickname>.",21,,,,Sub_Ch1,S1_L0020
1,3,21,1,Player,Sub,,text,(며칠 동안은 괜찮겠지...),(If it’s just for a few days...),22,,,,Sub_Ch1,S1_L0021
1,3,22,1,Player,Sub,,text,그래. 그렇게 하자.,Alright then.,23,,,,Sub_Ch1,S1_L0022
1,3,23,1,Dot,Default,anim_mold2,text,...... 안녕?,...... Hello?,24,,,,Sub_Ch1,S1_L0023
1,3,24,1,Dot,Default,,text,...... 달에서 아주 끔찍한 오물을 봤어.,...... I saw terrible filth on the Moon.,25,,,,Sub_Ch1,S1_L0024
1,3,25,1,Dot,Default,,text,지구에도 그런 게 있니.\n너도 그곳에서 태어났어?,Is there filth on Earth as well?\nWere you born from it too?,26,,,,Sub_Ch1,S1_L0025
1,3,26,1,Dot,Default,,text,... 넌 썩은 꿈의 시체에서도.\n피어날 수 있어?,Can you grow on the\ncorpses of rotten dreams?,27,,,,Sub_Ch1,S1_L0026
