Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption,LocTable,LocKey
1,15,1,1,Dot,Sub,anim_eyesblink,text,"<nickname>, 내 침대 있잖아.","<nickname>, about my bed.",2,,,,Sub_Ch3,S3_L0001
1,15,2,1,Player,Sub,,text,네 침대?,Your bed?,3,,,,Sub_Ch3,S3_L0002
1,15,3,1,Dot,Sub,,text,"응. 네 침대의 그림자 속에서, 희멀겋지만\n탄력 있는 호흡으로 존재하는 나의 침대.","My bed, woven with resilience and\nsilk in the shadow of your bed.",4,,,,Sub_Ch3,S3_L0003
1,15,4,1,Dot,Default,anim_move,text,나의 끈적끈적하고 안락한 침대 말이야!,My snug and sticky bed!,5,,,,Sub_Ch3,S3_L0004
1,15,5,1,Player,Sub,anim_eyesblink,text,(... 이게 무슨 뜻일까.),(... What does this mean.),6,,,,Sub_Ch3,S3_L0005
1,15,6,1,Player,Sub,,text,"(... 아, 아아. 저 구석의 거미줄을\n뭉치가 침대로 쓰겠다 했었지.)","(... Oh, right. Dot’s using the cobweb\nin the corner as a bed)",7,,,,Sub_Ch3,S3_L0006
1,15,7,1,Player,Sub,,text,"응, 뭉치야. 네 침대. 기억했어.","Right, Dot. Your bed.\nI do remember.",8,,,,Sub_Ch3,S3_L0007
1,15,8,1,Dot,Sub,,text,오늘 그 침대를 만들어 준 예술가\n선생과 우연히 마주쳤어.,Today I stumbled upon the\nartist who crafted the bed.,9,,,,Sub_Ch3,S3_L0008
1,15,9,1,Player,Sub,,selection,"(세상에. 안 돼. 설마, 제발...)|(동거인이 한 마리 더 있었구나!)","(Oh no. Please, no...)|(Wow. A third roommate!)",10|10,moon|sun,,,Sub_Ch3,S3_L0009
1,15,10,1,Player,Sub,,text,예술가 선생? 혹시\n우리 집에서 만난 거야?,"The artist? You met them\nhere, in this room?",11,,,,Sub_Ch3,S3_L0010
1,15,11,1,Dot,Sub,,text,"응, 응. 그는 저쪽 창틀 위에\n고고하게 앉아 있었지.","Yes, yes. She was perched elegantly\non the windowsill over there.",12,,,,Sub_Ch3,S3_L0011
1,15,12,1,Player,Sub,,selection,(상상하지 말자. 상상하지 말자.)|(고고한 거미? 상상하니 귀엽잖아!),(Stop imagining it. Stop!)|(An elegant spider? How cute!),13|13,moon|sun,,,Sub_Ch3,S3_L0012
1,15,13,1,Dot,Sub,anim_sub_light,text,"난 조금 가까이 다가가서... 실례를 범하지\n않았길 바라며, 그의 여덟 개나 되는 눈,","I inched closer... and, with the utmost\nregard, counted her eight eyes,",14,,,,Sub_Ch3,S3_L0013
1,15,14,1,Dot,Sub,anim_sub_light,text,그리고 경이롭게도 ‘역시’ 여덟 개나 되는\n다리를 하나하나 세어 보고 있었는데.,and eight magnificent\nlegs one by one.,15,,,,Sub_Ch3,S3_L0014
1,15,15,1,Dot,Sub,anim_eyesblink,text,그때.,And then.,16,,,,Sub_Ch3,S3_L0015
1,15,16,1,Player,Sub,,text,그때...?,And then...?,17,,,,Sub_Ch3,S3_L0016
1,15,17,1,Dot,Sub,,text,"눈이 마주친 거야. 허공에서,\n조금은 어색하게,","Our eyes met. Midair,\na little awkwardly.",18,,,,Sub_Ch3,S3_L0017
1,15,18,1,Dot,Sub,,text,그의 눈알 여덟 개와\n나의 눈알 두 개가 말이야.,Her eight eyes and my\ntwo eyes locked together.,19,,,,Sub_Ch3,S3_L0018
1,15,19,1,Dot,Sub,,text,"가까이에서 본 그는 훨씬 새하얀데,\n멋진 줄무늬도 있고! 아주 복실복실했어.","She was much paler up close, and\nhad glorious stripes! Very fluffy.",20,,,,Sub_Ch3,S3_L0019
