Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption,LocTable,LocKey
1,9,1,1,Dot,Default,anim_move,text,"<nickname>,","<nickname>,",2,,,,Sub_Ch2,S2_L0001
1,9,2,1,Dot,Sub,anim_eyesblink,text,비밀을 알려 줄게.,I’ll tell you a secret.,3,,,,Sub_Ch2,S2_L0002
1,9,3,1,Dot,Sub,,text,난 너의 생각을 읽을 수 있어.,I can read your thoughts.,4,,,,Sub_Ch2,S2_L0003
1,9,4,1,Player,Sub,,text,"에이, 설마!",You cannot.,5,,,,Sub_Ch2,S2_L0004
1,9,5,1,Dot,Sub,,text,정말이야. 증명해 볼게.,I can so. I’ll prove it.,6,,,,Sub_Ch2,S2_L0005
1,9,6,1,Dot,Sub,,text,상상해 봐.,Imagine.,7,,,,Sub_Ch2,S2_L0006
1,9,7,1,Dot,Sub,,text,넌 숲속을 걷고 있어.,You’re walking in the woods.,8,,,,Sub_Ch2,S2_L0007
1,9,8,1,Dot,Sub,,text,"그러던 중, 갑자기\n길이 두 갈래로 나뉘어.","Suddenly, the path you’re\non diverges into two.",9,,,,Sub_Ch2,S2_L0008
1,9,9,1,Dot,Default,anim_eyesside_turn,text,한 쪽은 햇살이 가득한\n벽돌 깔린 길이야.,"One is a brick-lined road,\nbright with sunshine.",10,,,,Sub_Ch2,S2_L0009
1,9,10,1,Dot,Default,,text,옆엔 향기로운 꽃들이 피어 있고,Fragrant flowers neatly grow on the side,11,,,,Sub_Ch2,S2_L0010
1,9,11,1,Dot,Default,,text,"붉은색, 주황색, 노란색\n꽃망울이 눈을 사로잡아.","and the red, orange, and yellow\nof the blooms catch your eye.",12,,,,Sub_Ch2,S2_L0011
1,9,12,1,Dot,Default,anim_eyescorner_turn,text,다른 쪽은 다양한 크기의 나무들이\n아무데서나 자라고 있어.,The other has trees of all sizes\nstretching out from everywhere.,13,,,,Sub_Ch2,S2_L0012
1,9,13,1,Dot,Default,,text,짙은 녹음은 바람에 맞추어\n제멋대로 흔들리고,Thick greenery sways\nwildly with the wind,14,,,,Sub_Ch2,S2_L0013
