Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption,LocTable,LocKey
1,57,1,1,Dot,Default,anim_move,text,"<nickname>, 돌아왔구나.","<nickname>, you’re back.",2,,,,Sub_Ch10,S10_L0001
1,57,2,1,Dot,Sub,anim_eyesup_turn,text,창밖의 거리를 구경하다 궁금한 게 생겼어.,Something from the streets\npiqued my curiosity.,3,,,,Sub_Ch10,S10_L0002
1,57,3,1,Dot,Sub,anim_eyesblink,text,인간들이 삼삼오오 모여 군집을\n이룬 채 웃고 있는 모습을 봤거든.,"I saw humans in groups, smiling.",4,,,,Sub_Ch10,S10_L0003
1,57,4,1,Dot,Sub,,text,그 순간은 그들에게 ‘추억’ 한 장이\n되어 고이고이 간직되겠지.,"It was a moment that will end up a page\nin their ‘memory’, one stored with care.",5,,,,Sub_Ch10,S10_L0004
1,57,5,1,Dot,Default,anim_eyescorner_turn,text,"있지, 너에게는 다른 인간 친구들도\n존재해? 그들과 추억을 나눠?",So... do you have human friends?\nDo you make memories with them?,6,,,,Sub_Ch10,S10_L0005
1,57,6,1,Player,Sub,anim_eyesblink,selection,"그럼, 당연하지.|음, 없는 것 같아.","Yes, of course.|Hm, not really.",7|16,active|passive,,,Sub_Ch10,S10_L0006
1,57,7,1,Dot,Sub,,text,...! 그렇구나.,...! I see.,8,,,,Sub_Ch10,S10_L0007
1,57,8,1,Dot,Sub,,text,그들과 ‘동질감’을 느끼며\n함께 웃음을 터트리기도 해?,Do you feel a ‘kinship’ with\nthem and laugh together?,9,,,,Sub_Ch10,S10_L0008
1,57,9,1,Player,Sub,,text,"응, 그게 친구의 묘미인 것 같아. 그\n사소하고 자잘한 웃음들이 모여서","Yes, I think that’s the best part of having\nfriends. Those little moments gather",10,,,,Sub_Ch10,S10_L0009
1,57,10,1,Player,Sub,,text,"우리는 친밀해지고, 더욱 고유한\n추억들을 함께 만들어 나가는 거야.","to bring us closer, and, in turn, we create\neven more special memories together.",11,,,,Sub_Ch10,S10_L0010
1,57,11,1,Player,Sub,,text,그렇게 관계의 밀도가\n깊어 간다고 생각해.,That’s how I think relationships\nbecome more tight-knit.,12,,,,Sub_Ch10,S10_L0011
1,57,12,1,Dot,Sub,,text,추억...,Memory...,13,,,,Sub_Ch10,S10_L0012
1,57,13,1,Dot,Sub,,text,"누군가에게 확실하게, 오차 없이\n‘추억’으로서 존재하려면 어떻게 해야 해?",How do you become a ‘memory’\nto someone without fail?,14,,,,Sub_Ch10,S10_L0013
1,57,14,1,Player,Sub,,text,오랫동안 함께하면 되지. 긴 시간을\n보내며 기억을 축적하면 돼.,Spend plenty of time together. Those\ntimes accumulate as memories.,15,,,,Sub_Ch10,S10_L0014
1,57,15,1,Player,Sub,,text,우리도 추억을 만들어 가는 중인 걸?,"It’s what you and I\nare doing right now, see?",25,,,,Sub_Ch10,S10_L0015
1,57,16,1,Dot,Sub,,text,... 정말? 왜?,... Really? How?,17,,,,Sub_Ch10,S10_L0016
1,57,17,1,Player,Sub,,selection,타인과 관계 맺는 건 관심사가 아니야.|친구라 정의할 만큼 가까운 지인이 없어.,I’m not interested in making ties with people.|I don’t feel close enough with my acquaintances.,18|18,active|passive,,,Sub_Ch10,S10_L0017
1,57,18,1,Dot,Sub,,text,"비록 못나고 보잘것없는 몸이지만, 이런\n내가 무려 너의 유일한 친구인 거야?","So even though I’m ugly and useless,\nI’m your one and only friend?",19,,,,Sub_Ch10,S10_L0018
1,57,19,1,Player,Sub,,selection,"그런 셈이지.|응, 유일한 친구!","I guess so.|Yes, the one and only!",20|20,moon|sun,,,Sub_Ch10,S10_L0019
1,57,20,1,Dot,Sub,,text,그렇다면 너도 나와의\n고유한 ‘추억’이 있는 거지?,Then you have a special\n‘memory’ with me as well?,21,,,,Sub_Ch10,S10_L0020
1,57,21,1,Player,Sub,,text,그럼. 정확히는 우리가 추억을\n만들어 나가는 중이라고 생각해.,"Of course. More accurately, I think we’re\nin the process of making memories.",22,,,,Sub_Ch10,S10_L0021
1,57,22,1,Player,Sub,,text,"내 기준이지만, 추억이라\n불리는 게 자연스러우려면...","This is just me, but to call\nsomething a ‘memory’",23,,,,Sub_Ch10,S10_L0022
1,57,23,1,Player,Sub,,text,지금보다는 훨씬 과거의\n일이 되어야 하는 것 같아.,I think it needs to be\nway back in the past.,24,,,,Sub_Ch10,S10_L0023
1,57,24,1,Player,Sub,,text,혹은 더 긴 시간 동안\n축적해 나가야 했거나.,Or it needs to have accumulated\nfor a longer period.,25,,,,Sub_Ch10,S10_L0024
1,57,25,1,Dot,Sub,,text,"... 응, 알 것 같아.","... Yes, I think I understand.",26,,,,Sub_Ch10,S10_L0025
1,57,26,1,Dot,Default,anim_eyesside_turn,text,으음. 한 가지 질문이 또 생겼어.,Hm. I have another question.,27,,,,Sub_Ch10,S10_L0026
