Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption,LocTable,LocKey
1,69,1,0,Dot,Default,anim_eyesclosed,text,......,......,2,,,,Sub_Ch12,S12_L0001
1,69,2,0,Dot,Default,anim_eyesclosed,text,......,......,3,,,,Sub_Ch12,S12_L0002
1,69,3,0,Player,Default,anim_eyesclosed,text,뭉치야!,Dot!,4,,,,Sub_Ch12,S12_L0003
1,69,4,0,Dot,Default,anim_eyesclosed,text,......,......,5,,,,Sub_Ch12,S12_L0004
1,69,5,0,Dot,Default,anim_eyesclosed,text,......,......,6,,,,Sub_Ch12,S12_L0005
1,69,6,0,Dot,Sub,anim_eyesblink,text,응? 어...... 응!,Oh? Oh...... yes!,7,,,,Sub_Ch12,S12_L0006
1,69,7,0,Dot,Sub,,text,<nickname>.,<nickname>.,8,,,,Sub_Ch12,S12_L0007
1,69,8,0,Dot,Sub,,text,안녕.,Hello.,9,,,,Sub_Ch12,S12_L0008
1,69,9,0,Player,Sub,,text,뭐 하던 중이었어?,What were you up to?,10,,,,Sub_Ch12,S12_L0009
1,69,10,0,Dot,Sub,,text,......,......,11,,,,Sub_Ch12,S12_L0010
1,69,11,0,Dot,Sub,,text,......,......,12,,,,Sub_Ch12,S12_L0011
1,69,12,0,Dot,Sub,,text,......,......,13,,,,Sub_Ch12,S12_L0012
1,69,13,0,Dot,Sub,,text,......,......,14,,,,Sub_Ch12,S12_L0013
1,69,14,0,Dot,Sub,,text,"나, 일기를 쓰다 말고 하늘을 보고 있었어!\n오늘 날씨가 얼마나 화창한지.",I was gazing at the sky!\nThe weather is so nice today.,15,,,,Sub_Ch12,S12_L0014
1,69,15,0,Player,Sub,,selection,너의 모퉁이에서도 하늘이 보여?|오늘 날씨가... 화창한가?,You can see the sky from your corner?|You call that... nice?,16|23,active|passive,,,Sub_Ch12,S12_L0015
1,69,16,0,Dot,Sub,,text,......,......,17,,,,Sub_Ch12,S12_L0016
1,69,17,0,Dot,Sub,,text,......,......,18,,,,Sub_Ch12,S12_L0017
1,69,18,0,Dot,Default,anim_omg,text,"응, 응, 그럼!","Yes, yes of course!",19,,,,Sub_Ch12,S12_L0018
1,69,19,0,Dot,Default,anim_omg,text,그럼.,Of course.,20,,,,Sub_Ch12,S12_L0019
1,69,20,0,Dot,Default,anim_omg,text,"하늘이 보이지, 그럼.","I see it, I do.",21,,,,Sub_Ch12,S12_L0020
1,69,21,0,Player,Default,anim_omg,text,(음...... 뭉치 괜찮은 걸까.),(Hmm... I’m not convinced.),22,,,,Sub_Ch12,S12_L0021
1,69,22,0,Player,Default,anim_omg,text,(잠시 후 다시 확인하러 와 봐야겠어.),(I should check on\nDot again later.),,,,,Sub_Ch12,S12_L0022
1,69,23,0,Dot,Sub,anim_eyesblink,text,......,......,24,,,,Sub_Ch12,S12_L0023
1,69,24,0,Dot,Sub,anim_eyesblink,text,......,......,25,,,,Sub_Ch12,S12_L0024
1,69,25,0,Dot,Default,anim_omg,text,"응, 응, 그럼!","Yes, yes of course!",26,,,,Sub_Ch12,S12_L0025
1,69,26,0,Dot,Default,anim_omg,text,그럼.,Of course.,27,,,,Sub_Ch12,S12_L0026
1,69,27,0,Dot,Default,anim_omg,text,"화창하지, 그럼! 너희 인간들은 이런\n날씨를 화창하다고 판별하지 않는구나?",Nice as anything! I see humans don’t\nthink this kind of weather is nice?,28,,,,Sub_Ch12,S12_L0027
1,69,28,0,Dot,Default,anim_omg,text,......,......,29,,,,Sub_Ch12,S12_L0028
1,69,29,0,Dot,Default,anim_omg,text,......,......,30,,,,Sub_Ch12,S12_L0029
1,69,30,0,Player,Default,anim_omg,text,(음...... 뭉치 괜찮은 걸까.),(Hmm... I’m not convinced.),31,,,,Sub_Ch12,S12_L0030
1,69,31,0,Player,Default,anim_omg,text,(잠시 후 다시 확인하러 와 봐야겠어.),(I should check on\nDot again later.),,,anim_mud_ch11,,Sub_Ch12,S12_L0031
2,70,32,0,Dot,Sub,anim_eyesblink,text,지금 나에게는 ‘뒤로 가기’가 필요한 것 같아.,I think I need to ‘rewind’.,33,,,,Sub_Ch12,S12_L0032
