StartTime,EndTime,KorText,EngText
00:00:02:14,00:00:06:11,그는...... 훌륭한 친구였어.,He was a fine friend.
00:00:06:11,00:00:09:29,이야기를 나누는 대신 포자를 뿜어 내는 아리송한 친구이기도 했지만.,"Certainly a strange one, one that favored spores over conversational topics."
00:00:09:29,00:00:14:03,그래도 그의 언어는 나와 통했어. 그만의 언어는 나에게 울림을 줬어.,But we shared a language. His rang within me.
00:00:15:13,00:00:19:17,"검은 몸을 가진 나의 친구, 나에게 동질감이란 감정을 알려준 상대였어.",My small dark friend. He taught me what kinship felt like.
00:00:20:11,00:00:24:15,부풀어 오르는 빵 같은 표피를 보노라면 이대로 잠들 수도 있을 것 같았어.,Gazing at his airy fluffy surface would lull me to sleep.
00:00:24:29,00:00:29:03,내 여행에 스리슬쩍 함께해 주었을 때도 참 고마웠지. 우린 시야를 공유한 사이였다고.,"He was always welcome on my ventures. We shared the world, he and I."
00:00:29:26,00:00:34:00,물렁한 몸집을 갖고선 꽤나 멋들어진 춤을 출 줄 아는 친구이기도 했어.,"And in spite of his wobbly body, he knew his way around a dance floor."
00:00:34:28,00:00:39:02,"나란히 앉아 고향을 떠올리던 때, 그도 냄새 나고 축축한 장화 속을 그리워하고 있었어.","When we dreamed of home side by side, he too longed for the inside of a smelly wet boot.
When I sat beside him and dreamt of home, he too longed for the inside of a smelly wet boot."
00:00:42:13,00:00:46:17,셔터 속에만 남은 나날들.,Days that remain only in a camera shutter.
00:00:56:02,00:01:00:13,이제 나의 혼잣말은 정말 혼자가 되었구나. ,"Now when I speak aloud, it’s truly to myself."
