StartTime,EndTime,KorText,EngText
00:00:00:00,00:00:04:18,"가벼이 스쳤던 어느 달 청소부의 말에 의하면, 난 분명 살아서는 안 됐었어.","According to one Moon Cleaner, I was never meant to live."
00:00:04:18,00:00:09:15,악하고 징그러운 꿈들의 폐기물에서 ‘눈을 뜬’ 덩어리라니.,"A blob that ‘opened it’s eyes’ amid the foul, disturbing dream filth."
00:00:09:15,00:00:14:13,"난 그들이 힘껏 묻어 두었던 슬픔과 고통이, 마치 무덤을 파헤치고 되살아난 것만 같은 존재였던 거야.","I was the sadness and pain they had buried deep, risen from the grave."
00:00:14:13,00:00:19:11,"나를 편견 없이 바라봐 주던 첼로 경과 에디슨, 그리고 레드마저 나의 처분을 막을 수는 없는 듯했어.","Despite their efforts, Sir Cello, Edison, and not even Red could prevent my disposal."
00:00:19:11,00:00:24:09,"레드는 머리 끝자락의 불을 맹렬하게 휘날리며 분노했지만,","Red raged, the tips of his flames shuddering and leaping,"
00:00:24:09,00:00:29:06,그의 분노조차 나의 생과 삶에 대한 당위성을 부여해 주지는 못했지.,but his cries weren’t enough to justify my continued existence.
00:00:29:06,00:00:34:04,"누구 하나 ‘얘는 살아야 해. 해롭지 않아.’라고 확신할 수 없었고, 대부분의 이들은 강하게 거부했거든.","Not a soul could prove I was harmless. No, most were strongly against my existence."
00:00:34:04,00:00:39:02,괜찮아. 무서웠지만 그래도 괜찮아. 그저 본능적으로 달의 모서리로 향했어.,I told myself it was alright as I headed to the corner of the moon. 
00:00:39:02,00:00:43:23,사형 처분을 기다리게 될 이곳만큼은 불안으로부터 안전하기를. 날 선 공포가 침범하지 못하기를 바라며.,"Awaiting my end, I hoped the sharp spikes of fear wouldn’t reach me here. "
00:00:43:23,00:00:48:21,그곳은 우주가 참 잘 보이는 곳이었어.,I could see the universe very well from my post.
00:00:48:21,00:00:53:19,우주는 신기한 공간이야. 무한히 검고 드넓지,It’s a wonderful realm. Infinitely dark and vast.
00:00:53:19,00:00:58:17,저 끝없이 펼쳐지는 공간에선 무슨 일이든 일어날 수 있지 않을까? 막연히 상상하게 될 만큼.,Makes you wonder. Could anything happen out there in the endless stretch of space?
00:00:58:17,00:01:03:14,얼마의 시간이 흘러 그들이 내 몸뚱아리를 붙잡았을 때,"And when the time came and they grabbed me by my body,"
00:01:03:14,00:01:08:12,“저 밖엔 나를 꿈으로 삼아 줄 다른 존재가 있을지도 몰라.”,“Maybe someone out there wants me as a dream of their own.”
00:01:08:12,00:01:14:22,"미약한 빛무리를 보여 주었던 우주에게 마지막 한 마디를 헌정하고, 눈을 꼭 감았어.","With those parting words to a universe that had shown me a glimmer of light, I closed my eyes."
00:01:15:11,00:01:19:20,그리고는 한참이나 아무 일도 일어나지 않았던 거야.,For the longest time nothing happened.
00:01:19:20,00:01:25:21,눈을 떴을 땐 조금 혼란해진 그들의 표정이 보였어.,When I opened my eyes again… they looked confused.
