StartTime,EndTime,KorText,EngText
00:00:00:00,00:00:02:16,오늘은 어떠한 불운이 닥쳐도 티끌 같은 빛을 찾아내는 인간을 봤어.,Today I saw a man that finds a silver lining in every stormy cloud.
00:00:03:18,00:00:07:18,"""오늘의 사연입니다. 면접을 보러 가는데, 옷에 흙탕물이 튀어서 너무 속상했어요.""","“Our first caller says they were on their way to a job interview, and had mud splashed all over them.”"
00:00:07:18,00:00:11:21,"""머리가 새하얘진 나머지 열심히 준비했던 면접도 망쳐 버렸어요.""","“My mind went blank and I screwed up the interview, he says.”"
00:00:11:21,00:00:15:05,“저런... 마음이 아프시겠어요. 하지만 좋은 경험이었다고 생각해 보는 건 어떨까요?”,“Oh man… hard luck. But why don’t we look at the bright side?”
00:00:15:05,00:00:19:00," “저도 오늘 소중한 옷에 흙탕물이 튀었는데, 덕분에 귀여운 나비 무늬가 생겼답니다.” ","“I got mud on my clothes today too, but the stain looks like a butterfly.”"
00:00:19:00,00:00:22:09,"“세상을 긍정적으로 바라보면서, 슬픔은 더 멋진 웃음으로 덮어 보아요.”","“Try to see the world positively, and slap a bright smile over that long face.”"
00:00:22:09,00:00:25:03,그 사람은 작은 방송국의 라디오 진행자였지.,He was a radio host of a small broadcast station.
00:00:25:03,00:00:28:03, 그 방송국이 더 젊고 반짝거리는 인간으로 진행자를 바꾸기 전에는 말이야.,"At least until they changed the host to a younger, more dashing human."
00:00:33:20,00:00:38:02,그래도 그는 늘 그렇듯 웃었어. 슬픔을 더 멋진 웃음으로 덮어 낸 거야.,"He still laughed it off. Bright smile over long face, remember?"
00:00:40:04,00:00:44:10,"그에게 ‘그 일’이 일어나기 전, 그는 사랑하는 여자친구와 처음으로 크게 다퉜어.","Before ‘the incident’, he had his first big fight with his girlfriend."
00:00:47:00,00:00:49:16,"""그래, 괜찮아. 괜찮아! 우리는 앞으로 더 단단해질 거야!""",“Alright. It’s fine! We’ll be stronger then ever before.”
00:00:49:16,00:00:51:23,"""첫 싸움으로 강렬한 감정 교류를 나눴으니…""",”Our first fight helped us connect emotionally…”
00:00:51:23,00:00:55:15,“오늘은 기념해 그녀와 멋진 저녁 식사를 하자고 제안해야겠어!”,“I’ll ask her to a splendid dinner to commemorate this day.”
00:00:56:19,00:01:01:01,그리고 마침내 ‘그 일’이 일어났을 때…,And when ‘the incident’ happened…
00:01:05:20,00:01:08:00,그는… 그는 말이지…,He… well…
