StartTime,EndTime,KorText,EngText
00;00;03;19,00;00;08;07,"커튼이 열린다. 자, 어서 박수를 쳐.",The curtain rises. Applause fills the room.
00;00;08;07,00;00;13;04,바실로비타 빵에 파묻힌 행운이 목 빠져라 기다리고 있어.,The small piece of luck buried in the Vasilopita cake has been waiting.
00;00;13;04,00;00;18;01,"행운의 동전을 가지는 자야말로 바로 오늘, 파티의 주인공이야.",The one who takes that lucky coin will be the star of the party.
00;00;19;09,00;00;22;28,예상치 못한 선물이 더욱 강렬한 기쁨을 선사하는 법이잖아?,"The best gifts are the ones you didn’t see coming, right?"
00;00;24;13,00;00;28;14,찬란한 불빛과 내려 찍는 비트,"The radiant lights, the pounding beat,"
00;00;28;14,00;00;31;26,모든 그대의 자취를 기억하는 백 쌍의 눈동자.,the hundreds of eyes tracking your every move.
00;00;32;25,00;00;34;08,흥이 오르지.,Exhilarating.
00;00;34;08,00;00;35;20,고양되고.,Electrifying.
00;00;35;20,00;00;37;19,과열된다.,"The party, in full swing."
00;00;37;19,00;00;42;16,하지만 운명은 행운의 주인공을 찾고 있었어.,But fate was searching for that one lucky person.
00;00;47;13,00;00;49;26,너지?,Is it you?
00;00;50;01,00;00;52;10,너야?,You?
00;00;52;22,00;00;54;07,너는?,How about you?
00;00;55;12,00;00;56;25,"“오, 네 춤사위 한번 간드러진다.“","“WOW, I dig your moves.”"
00;00;57;12,00;01;02;11,어떤 예고도 하지 않고 그렇게.,"Without any warning, she…"
