StartTime,EndTime,KorText,EngText
00:00:00:13,00:00:04:00,나는 벼랑 끝에 서 있었어.,I was standing on the edge of a cliff.
00:00:04:00,00:00:09:18,너머에는 거대한 포식자. 고요하고 시커먼 목구멍.,Beyond was the colossal predator. A silent and fathomless mouth.
00:00:09:18,00:00:12:00,죽음.,Death.
00:00:12:00,00:00:15:20,나는 그 끝없는 낙차를 감히 이해해 보려고 했어.,I dared to try and make sense of the endless drop. 
00:00:15:20,00:00:22:04,"그것을 손에 쥐고 더듬어 보려, 그의 외로운 속삭임에 귀 기울여 보려 했어.","To grasp it in the palm of my hand, and lend an ear to its lonely whispers,"
00:00:22:04,00:00:28:07,그러면 그에게 먹히게 될 나의 미래를… 가까스로 받아들일 수 있을 것만 같았어.,"I thought then I could accept… my fate, and being eaten by it."
00:00:28:07,00:00:32:05,"하지만 심연은 엿보는 것을 허락하지 않았고,",But the abyss denied a wandering eye.
00:00:32:05,00:00:38:02,나는… 발을 헛디뎠던가. 절망에 눈이 멀어 떨어져 내리길 자처했던가?,"And… I tripped. Or did I, blinded by despair, choose to fall?"
00:00:38:02,00:00:40:15,도통 기억이 나질 않아.,I just can’t remember.
00:00:40:15,00:00:44:20,깜 깜 해 졌 어.,Everything was d a r k.
00:00:44:20,00:00:49:01,그곳은 수렁 같은 암흑. 눈을 떠도 감아도 똑같은 것이 보이는.,"The Dark. Where everything is the same, eyes closed or open."
00:00:49:01,00:00:53:01,죽음보다 훨씬 서럽고 빽빽한 것들이 도사리는., Where things much more sorrowful and packed lurk.
00:00:53:01,00:00:57:06,아 무것 도 없는. 그렇기에 모 든 것 이 있는.,Where there is n o t h i n g. And thus e v e r y t h i n g.
00:00:57:06,00:01:00:00,그리고 안개. 이름 없는 안개.,And fog. The nameless fog.
00:01:00:00,00:01:04:05,그것들이 찾아와 거 대 하게 불어나기 시작했어.,Things approached and began to s w e l l.
00:01:04:05,00:01:08:10,묵음 처리된 비명들. 울음. 설움. 억울함.,Screams unheard. Sobs. Sorrows. Wrongs.
00:01:08:12,00:01:14:02,"암흑에서 태어나, 암흑의 섬뜩한 감각을 닮아 있는","Things born in the Dark, resembling the chilling nature of the Dark."
00:01:14:02,00:01:20:05,질문들. 질문들. 질문들. 질문들.,Questions. Questions. Questions. Questions.
00:01:20:07,00:01:21:19,‘왜 꿈은 꿈이 아닌 거야?’,Why are dreams not dreams?
00:01:21:19,00:01:23:20,‘몸과 색이 없는 거야?’,Why bodiless and colorless?
00:01:23:20,00:01:25:23,"‘모오든 색채는 허상이었고,’",Are colors nothing but lies?
00:01:25:23,00:01:28:02,‘세계는 잔혹한 방관자일 뿐이었던 거야?’,And the world a cruel bystander?
00:01:28:02,00:01:29:03,‘그렇다면 나는 뭐지?,Then what am I?
00:01:29:03,00:01:30:10,"‘나는 무엇밖에 못 되며,’",What am I?
00:01:30:10,00:01:31:18,‘무엇까지 될 수 있지?’,What can I be?
00:01:31:18,00:01:34:05,‘아무것도 될 수 없었다면.’,"If nothing,"
00:01:34:05,00:01:36:16,‘나 역시 예비-사체였던 거야?’,Am I just a carcass-to-be?
