StartTime,EndTime,KorText,EngText
00:00:01:18,00:00:04:23,누구 하나가 먼저 말을 걸 거야.,Someone will speak first.
00:00:04:23,00:00:09:22,"""지구의 노을, 참 좋지?""","“Earth has such a sunset, right?"
00:00:09:22,00:00:14:20,"""응, 응, 응. 노을은 있잖아.""","“Yes, yes, yes. Sunsets remind me of…”"
00:00:19:14,00:00:21:17,"""짧게 빛나는 것들의 아름다움을 떠올리게 해.""",“… a beauty found in what shines briefly.”
00:00:21:17,00:00:23:17,"""찰나로만 머무르기에, 순간을 마음껏 만끽해야 하는 것들 말이야.""","“Things that last only a moment, and should be cherished.”"
00:00:24:19,00:00:27:14,"너는 내 말을 듣고, 어떠한 표정을 짓거나 몸짓을 하며 생각한 뒤,","You’ll listen to me, pondering my words,"
00:00:27:14,00:00:29:13,사려 깊은 언어로 대답할 테지.,before adding your own two cents.
00:00:30:18,00:00:32:02,"""짧게 빛나는 것들의 아름다움."" ",“Beauty in what shines briefly.”
00:00:32:02,00:00:35:21,"""음악가의 몰입, 아이의 뜀박질, 사랑하는 이와의 눈맞춤…. 그런 것들이 떠올라."""," “A musician in their element, a child sprinting, lovers’ eyes meeting… and so on.”"
00:00:36:14,00:00:39:23,우린 같은 곳에서 같은 시간을 보내며 같은 곳을 바라보고 있지.,We are in the same place at the same time watching the same thing.
00:00:39:23,00:00:43:11,"하지만 그 노을의 붉음이 내 마음을 사로잡는 감각과 너의 마음을 울리는 감각이, 정말 같을까?","But can it truly be the same? The sunset’s blush, how it captures my heart and echoes in yours?"
00:00:43:11,00:00:48:02,"난 너무 궁금해. 너의 표정 속에, 너의 말 뒤에.","I long to know. What it is behind your face, your words."
00:00:48:02,00:00:51:12,네 존재의 ‘겉표지’ 너머에 존재할 너만의 내적인 일렁임.,What lies beneath the skin and wavers. 
00:00:51:12,00:00:52:11,반짝임.,Glimmers.
00:00:52:11,00:00:53:14,쓰라림.,Aches.
00:00:53:14,00:00:55:12,수많은 감정들의 유체가 자유로이 표류하는 감각.,Fluid feelings floating freely.
00:00:55:12,00:00:57:10,그것을 알 수만 있다면… 너와 나는 온전한 ‘우리’가 될 수 있을 텐데.,If I could reach it… you and I could be one complete <i>us</i>.
00:00:57:10,00:00:58:07,너의 속마음을 직접 보고 싶어!,I want to see it for myself!
00:01:05:03,00:01:08:08,그런데 난 알 수 없을 거야. 그 무엇도.,But I’ll never really know. Any of it.
00:01:08:08,00:01:09:16,"나는 고작 나일 수밖에 없으며,","Because I can only ever be me,"
00:01:11:09,00:01:12:17,결코 네가 될 수 없으니까.,and never you. Not ever.
