StartTime,EndTime,KorText,EngText
00:00:00:00,00:00:04:01,"메마르고 공허한 울림뿐이었던 그의 세상 속에서,","In his world, dry and filled with hollow echoes,"
00:00:04:01,00:00:07:08,그의 연인들은 전부 ‘사랑해’라는 단어를 아주 좋아했지.,"all his lovers adored the expression ""I love you.”"
00:00:07:08,00:00:10:29,하지만 그는 알 수 없는 이유로 ‘사랑해’를 부를 수 없었어.,"But for some inexplicable reason, the man himself could not say it."
00:00:10:29,00:00:14:14,"그 이름을 부르려고 하면, 그 누구도 이해할 수 없는 이상한 소리만 나왔던 거야.","Whenever he tried, only strange, incomprehensible sounds came out."
00:00:14:14,00:00:17:27,”사랑해”를 듣지 못했던 그의 전 연인들은 외로워했어.,"His former lovers remained lonely, deprived of that ‘I love you.’"
00:00:17:27,00:00:21:06,"갈증에, 공허함에, 때로는 의심에 허덕이며 결국 그를 떠나 버렸지.","Plagued by thirst, emptiness, and doubt, they eventually left him."
00:00:21:06,00:00:25:03,그는 반복될 엔딩을 직감하면서도 희망만은 놓지 않았어. ,"He sensed his fate was sealed, yet never let go of hope."
00:00:25:03,00:00:27:02,사랑을 포기한다는 건 선택지에 없었으니까.,Giving up on love was not an option.
00:00:27:02,00:00:31:25,그는 아름다운 사랑의 감정들을 가장 원형에 가까운 형태로 표현해 봤어!,He articulated his love in its truest form!
00:00:32:01,00:00:35:16,“넌 내 바다를 호령해.”,"“Darling, you command my seas.”"
00:00:36:02,00:00:39:16,“너를 위해서라면 내 노을도 내어 줄 수 있어!”,"“For you, I could give up my sunsets!"""
00:00:39:21,00:00:42:28,“너와의 시간은 매실 사탕처럼 달콤해!” 마음을 열고 어깨에 기대 보기도 했어.,"“Time with you is sweet like plum candy!” Walls lowerd, hearts opened."
00:00:42:28,00:00:45:29,하지만 잠시뿐이었어. 그들은 사랑이라는 단어 없이는 사랑을 느끼지 못하는 것 같았어.,"But without those three words, it seemed his love never reached them."
00:00:45:29,00:00:49:22,"사람들은 결국 그를 떠났고, 그는 애석한 혓바닥만 깨물어댈 뿐이었지.",They all left him in the end. He was left biting his tongue in dismay.
00:00:49:22,00:00:52:01,"그러던 어느 날, 아주 세밀하게 직조된 운명처럼,","Until one day, when fate worked its magic"
00:00:52:01,00:00:55:15,그는 자신과 똑같은 증상을 겪는 사람을 만나게 돼!,and led him to someone with the same symptoms!
00:00:55:15,00:01:00:15,"둘은 그동안의 불안을 뒤로 한 채, 그들만의 언어로 자유롭게 사랑을 노래할 수 있었지.","Free from insecurities, they sang of love in their unique language."
00:01:00:17,00:01:03:20,"꼭 닮은 너와 나, 이것이 얼마나 오래도록 꿈꿔 왔던 순간이었는지!","Oh, blessed bliss. How long he had dreamed of someone like him!"
00:01:03:20,00:01:06:17,그런데 이상하지. 이번엔 그가 차차 메말라 갔어.,"So it was beyond strange when this time, the man himself grew slowly ill."
00:01:06:18,00:01:08:24,부족해. 무언가 부족해. 왜? 왜일까?’, ‘... Something’s missing. But why? Why?’
00:01:08:24,00:01:12:09,급기야는 의심이 시작됐지. '왜 사랑한다는 말을 하지 않는 걸까.... 정말 나와 같은 이유일까?’,He even began to doubt. ‘Why can’t he just say it… Does he love me at all?’
00:01:12:09,00:01:18:20,"‘우리의 사랑은, 무언가 부족해. 사랑한단 말도 못 하는 사랑이 어떻게 ‘사랑’일 수 있겠어.’",‘How can love never spoken aloud be love?’
00:01:18:20,00:01:21:23,"갈증은 그의 마음을 잡아먹었고, 결국 그는 떠나기로 결심했어.","Thirst consumed his thoughts, and eventually the man left."
00:01:21:23,00:01:24:28,그 역시 ‘사랑한다’는 말을 아주 원했기 때문에.,"All because he too longed to hear those three words, ‘I love you.’"
